,NewDate,# of RFpred==1,# of RFpred==0,# of RFpred==-1,# of SVMpred==1,# of SVMpred==0,# of SVMpred==-1
0,58,4,3,0,3,4,0
1,59,0,4,0,0,4,0
2,60,2,5,0,2,5,0
3,61,3,3,0,1,5,0
4,62,2,4,0,2,4,0
5,63,0,6,0,0,6,0
6,64,3,5,0,4,4,0
7,65,6,2,0,4,4,0
8,66,2,4,0,4,2,0
9,67,0,2,0,0,2,0
10,68,1,5,0,1,5,0
11,69,0,8,0,0,8,0
12,70,0,2,0,0,2,0
13,71,2,7,0,2,7,0
14,72,2,4,0,2,4,0
15,73,1,3,0,0,4,0
16,74,1,5,0,1,5,0
17,75,2,5,0,1,6,0
18,76,2,6,0,2,6,0
19,77,3,7,0,2,8,0
20,78,3,9,0,4,8,0
21,79,0,5,0,0,5,0
22,80,1,4,0,0,5,0
23,81,2,6,0,0,8,0
24,82,1,3,0,1,3,0
25,83,1,4,0,1,4,0
26,84,0,4,0,0,4,0
27,85,1,6,0,2,5,0
28,86,5,3,0,5,3,0
29,87,1,2,0,1,2,0
30,88,6,1,0,5,2,0
31,89,0,6,0,0,6,0
32,90,2,3,0,3,2,0
33,91,5,4,0,4,5,0
34,92,1,7,0,2,6,0
35,93,3,3,0,2,4,0
36,94,3,4,0,4,3,0
37,95,2,4,0,2,4,0
38,96,6,3,0,6,3,0
39,97,4,4,0,2,6,0
40,98,4,3,0,5,2,0
41,99,1,2,0,1,2,0
42,100,5,2,0,4,3,0
43,101,2,3,0,2,3,0
44,102,1,4,0,2,3,0
45,103,4,3,0,4,3,0
46,104,3,1,0,2,2,0
47,105,2,9,0,5,6,0
48,106,3,1,0,3,1,0
49,107,5,4,0,4,5,0
50,108,1,6,0,1,6,0
51,109,1,3,0,2,2,0
52,110,4,3,0,4,3,0
53,111,6,2,0,7,1,0
54,112,4,1,0,3,2,0
55,113,2,6,0,2,6,0
56,114,1,5,0,2,4,0
57,115,2,9,0,4,7,0
58,116,4,3,0,4,3,0
59,117,1,2,0,1,2,0
60,118,7,4,0,9,2,0
61,119,6,2,0,5,3,0
