,NewDate,# of RFpred==1,# of RFpred==0,# of RFpred==-1,# of SVMpred==1,# of SVMpred==0,# of SVMpred==-1
0,98,3,2,0,2,3,0
1,99,4,4,0,0,8,0
2,100,5,4,0,4,5,0
3,101,2,3,0,2,3,0
4,102,3,1,0,0,4,0
5,103,4,5,0,3,6,0
6,104,4,1,0,3,2,0
7,105,5,8,0,3,10,0
8,106,5,1,0,2,4,0
9,107,4,1,0,2,3,0
10,108,4,5,0,0,9,0
11,109,4,1,0,2,3,0
12,110,6,1,0,5,2,0
13,111,2,1,0,0,3,0
14,112,3,2,0,3,2,0
15,113,2,3,0,1,4,0
16,114,1,10,0,1,10,0
17,115,6,11,0,3,14,0
18,116,3,3,0,3,3,0
19,117,5,2,0,3,4,0
20,118,6,1,0,1,6,0
21,119,6,4,0,6,4,0
22,120,6,4,0,7,3,0
23,121,2,6,0,3,5,0
24,122,1,8,0,0,9,0
25,123,2,6,0,2,6,0
26,124,4,10,0,5,9,0
27,125,7,8,0,7,8,0
28,126,5,5,0,4,6,0
29,127,9,3,0,7,5,0
30,128,10,9,0,9,10,0
31,129,4,7,0,6,5,0
32,130,2,6,0,3,5,0
33,131,2,4,0,1,5,0
34,132,7,5,0,8,4,0
35,133,0,2,0,0,2,0
36,134,3,5,0,2,6,0
37,135,1,2,0,1,2,0
38,136,5,5,0,6,4,0
39,137,1,4,0,1,4,0
40,138,3,5,0,2,6,0
41,139,4,7,0,5,6,0
42,140,1,4,0,1,4,0
43,141,1,6,0,1,6,0
44,142,1,3,0,2,2,0
45,143,9,4,0,9,4,0
46,144,2,5,0,2,5,0
47,145,1,5,0,2,4,0
48,146,2,3,0,1,4,0
49,147,3,7,0,3,7,0
50,148,1,5,0,2,4,0
51,149,4,3,0,3,4,0
52,150,1,5,0,1,5,0
53,151,1,3,0,1,3,0
54,152,0,3,0,1,2,0
55,153,0,3,0,0,3,0
56,154,0,6,0,0,6,0
57,155,4,6,0,5,5,0
58,156,3,6,0,3,6,0
59,157,4,4,0,5,3,0
60,158,0,3,0,0,3,0
61,159,2,7,0,2,7,0
62,160,3,3,0,4,2,0
63,161,0,2,0,0,2,0
64,162,0,2,0,0,2,0
65,163,3,7,0,3,7,0
66,164,3,5,0,5,3,0
67,165,3,6,0,4,5,0
68,166,2,10,0,4,8,0
69,167,4,6,0,4,6,0
70,168,1,7,0,1,7,0
71,169,0,10,0,2,8,0
72,170,0,8,0,0,8,0
73,171,1,4,0,1,4,0
74,172,2,8,0,4,6,0
75,173,3,11,0,5,9,0
76,174,2,4,0,3,3,0
77,175,1,5,0,3,3,0
78,176,5,8,0,8,5,0
79,177,4,8,0,6,6,0
80,178,2,11,0,1,12,0
81,179,11,7,0,11,7,0
82,180,3,11,0,3,11,0
83,181,0,3,0,2,1,0
84,182,3,7,0,6,4,0
85,183,0,4,0,0,4,0
86,184,1,8,0,4,5,0
87,185,6,9,0,10,5,0
88,186,3,10,0,5,8,0
89,187,0,7,0,4,3,0
90,188,0,6,0,1,5,0
91,189,0,11,0,2,9,0
92,190,0,5,0,0,5,0
93,191,2,5,0,3,4,0
94,192,1,6,0,4,3,0
95,193,0,13,0,7,6,0
96,194,5,8,0,8,5,0
97,195,0,7,0,3,4,0
98,196,9,3,1,9,3,1
99,197,6,7,0,8,5,0
100,198,1,6,0,2,5,0
101,199,1,6,0,3,4,0
102,200,1,7,0,1,7,0
103,201,2,7,0,3,6,0
104,202,3,10,0,5,8,0
105,203,3,5,0,2,6,0
106,204,1,7,0,1,7,0
