,NewDate,# of RFpred==1,# of RFpred==0,# of RFpred==-1,# of SVMpred==1,# of SVMpred==0,# of SVMpred==-1,,Real,RF pred,RF result,SVM pred,SVM result,,,no data,--,,
0,58,0,4,0,0,4,0,,0,down,dd,down,dd,,,,,,
1,59,0,2,0,0,2,0,,1,down,rd,down,rd,,,confusion matrix,,,
2,60,2,3,0,1,4,0,,0,down,dd,down,dd,,,,Real rise,Real down,
3,61,1,1,0,0,2,0,,1,-1,r-1,down,rd,,,RF rise,35,35,70
4,62,1,2,1,1,2,1,,1,down,rd,down,rd,,,RF down,152,158,310
5,63,2,1,0,1,2,0,,1,rise,rr,down,rd,,,RF 不出手,126,133,259
6,64,1,4,0,1,4,0,,0,down,dd,down,dd,,,,313,326,639
7,65,1,4,0,1,4,0,,0,down,dd,down,dd,,,,,,
8,66,1,2,0,1,2,0,,1,down,rd,down,rd,,,出手,0.594679186,,
9,67,1,3,0,1,3,0,,0,down,dd,down,dd,,,準確,0.507894737,,
10,68,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
11,69,1,1,0,0,2,0,,0,-1,d-1,down,dd,,,,Real rise,Real down,
12,70,0,2,0,0,2,0,,1,down,rd,down,rd,,,SVM rise,15,15,30
13,71,2,2,0,0,4,0,,1,-1,r-1,down,rd,,,SVM down,186,193,379
14,72,1,1,0,0,2,0,,0,-1,d-1,down,dd,,,SVM 不出手,112,118,230
15,73,2,1,0,0,3,0,,0,rise,dr,down,dd,,,,313,326,639
16,74,1,2,0,1,2,0,,1,down,rd,down,rd,,,,,,
17,75,0,4,0,0,4,0,,1,down,rd,down,rd,,,出手,0.640062598,,
18,76,1,1,0,0,2,0,,1,-1,r-1,down,rd,,,準確,0.508557457,,
19,77,1,1,0,0,2,0,,1,-1,r-1,down,rd,,,,,,
20,78,1,4,0,0,5,0,,1,down,rd,down,rd,,,,,,
21,79,0,3,0,0,3,0,,0,down,dd,down,dd,,,,,,
22,80,1,1,0,0,2,0,,0,-1,d-1,down,dd,,,,,,
23,81,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
24,82,0,2,0,0,2,0,,1,down,rd,down,rd,,,,,,
25,83,0,3,0,0,3,0,,1,down,rd,down,rd,,,,,,
26,84,0,4,0,0,4,0,,1,down,rd,down,rd,,,,,,
27,85,1,1,0,0,2,0,,0,-1,d-1,down,dd,,,,,,
28,86,1,2,0,0,3,0,,1,down,rd,down,rd,,,,,,
29,87,2,2,0,2,2,0,,1,-1,r-1,-1,r-1,,,,,,
