,post_time,title,content
147,2016/1/4 09:59:00,台股開紅盤重摔 CES概念撐腰 IC設計鈺創、凌通、迅杰大漲撐盤,台股今(4)日2016年第一個交易日，開盤不久指數就面臨賣壓襲擊，摜破8200點與月線支撐，盤面多頭聚焦CES相關概念，在即將開展題材帶動下，相關個股走勢穩健，其中IC設計鈺創(5351-TW)、義隆電(2458-TW)、凌通(4952-TW)、創惟(6104-TW)與迅杰(6243-TW)等股價都相對抗跌，漲幅維持1%以上，力撐半導體股表現。<BR>CES將在1/6開展，台廠聚焦VR、USB 3.1、機器人與智慧汽車相關商機，IC設計多檔個股積極布局，包含鈺創、義隆電、聯發科、瑞昱等，都赴CES展參展展出相關新產品。<BR>鈺創今年CES展態度相當積極，展出新經濟相關概念產品，包含VR所需的360攝影機，3D影像擷取及USB 3.1相關，今日股價延續上周強勢，漲幅逾2%；義隆電也搶攻360攝影機市場商機，與美商memora一起推出luna全景相機，同時CES展也將展出多款新品，股價表現同樣有撐。<BR>聯發科也將展出智慧家庭展出相關產品，不過今日股價不敵賣壓影響，盤中紅翻黑，而瑞昱持續強攻4K電視產品，題材帶動下，多檔CES概念股創惟、創意、原相、奕力與禾瑞亞等股價表現穩健，維持平盤上小漲格局，力撐半導體股整體表現。<BR>另一強勢族群則是無線充電概念，在硬體規格逐步確定後，今年也更具體化，CES上將有更多概念產品亮相，並有機會進入終端與車用市場，其中IC設計迅杰、凌通等近年積極布局，今日股價也強勢表態，迅杰漲幅逾5%，凌通也有近5%漲幅。
667,2016/1/8 13:48:00,盤後分析：股王大立光領漲，台股反彈收復10年線，日K翻紅終結連四黑,"中國證監會緊急宣布暫停熔斷機制，再祭出大股東減持令，3個月減持總數不得逾1%，外傳「國家隊」進場買進權值股，救市動作連發，人民幣暫時止貶，國際基金法人重新進場，暫時穩定市場的信心，帶動陸股跌深反彈，加上美股盤後期指上漲，亞洲股市也紛紛由黑翻紅。台股在金管會出手，宣布提高融券保證金成數至120%，國安基金點火權值股，股王大立光(3008)回神，領軍蘋概股反攻，金控雙雄的富邦金(2881)、國泰金(2882)翻紅走揚，大盤收復10年線之上，終場加權指數以7893.97點作收，上漲41.91點，成交量913.42億元。<BR> 2016年元月開盤後，包括沙伊斷交、北韓試射氫彈、人民幣大貶、陸股熔斷機制等，四大「黑天鵝」攪局，全球股市兵敗如山倒，正所謂：解鈴還需繫鈴人，連強勢美國也要看中國臉色，後續觀察油價、人民幣何時走穩。技術面，大盤從封關的8,338點反轉，摜破8,000點大關，最低下挫至7,770點，大跌568點，指數急跌之後，終於出現政策干預及搶反彈買盤，日K終結連四黑。9日K值進入20以下超賣區，短線有反彈機會，上檔5日均線在7,982點，10日及月線反壓在8,160點附近，中期反壓在8,217至8,394點內，須待9週KD值止跌再向上交叉，才有利波段反攻行情，中期底區先看7,500點上下300點內。<BR> 電子股表現，儘管蘋果股價跌破100美元大關，但對下半年iPhone的需求仍是偏向樂觀，法人看好台廠供應鏈第2季之後雨過天晴，大和證建議「買進」個股包括：大立光(3008)、可成(2474)、鴻海(2317)、和碩(4938)等，蘋概股透露出止跌訊息，聯發科(2454)、廣達(2382)、晶電(2448)、F-TPK(3673)也同步上漲，但短期之內，仍要看相關股的業績表現及法人籌碼動向。此外，近期法人買超股的太陽能、光通訊、散熱模組、遊戲等族群，包括中美晶(5483)、穩懋(3105)、雙鴻(3324)、鈊象(3293)、大宇資(6111)等，扮演領漲指標。<BR> 傳產股漲跌互見，水泥、食品、塑化、觀光表現較弱，台泥(1101)、統一(1216)、台塑三寶等集團股熄火，紡織、汽車零件、生技股領漲，包括紡織的台南(1473)、亮燈漲停；車電的同致(3552)、胡連(6279)、F-豐祥(5288)、車王電(1533)、F-IET(4971)等；生技的中化生(1762)、和康生(1783 )、明基醫(4116 )、聯合(4129)等，以及製鞋業的豐泰(9910)、百和(9938)、利勤(4426)等重獲買盤青睞。"
673,2016/1/8 15:00:00,【Y晚報】陸股反彈、國安基金護盤成功 台股翻紅收7893,（開盤日15:30出刊）美股跌跌不休，道瓊昨天又跌了392點，早上起床一看心都涼了一半，可是再看到另一個消息，不禁笑了起來。這個消息就是陸股的「熔斷機制」緊急喊卡了！解鈴還需繫鈴人，這個引發全球股市連鎖效應的變數，忽然被解開，預料全球股市要展開反彈了。<BR>果然早盤陸股在宣洩短線賣壓之後，從最低點3058一口氣拉到最高點3235，高低點相差了177點，台股也隨之走高，收盤上漲了41.9點，成交量仍然有913億。漲點雖然不多，但是內涵卻蠻精采的。<BR>首先，最讓人關注的當然還是蘋概股囉！大立光(3008)開低拉高，上漲接近8%，由於大立光不僅是蘋概股的指標，也是台股的股王，股王一穩，其他高價股也順勢搶攻。碩禾(3691)、浩鼎(4174)、F-麗豐(4137)、F-百研(3205)、力旺(3529)、同致(3552)、F-譜瑞(4966)、聯發科(2454)今天不約而同走高，形成今天台股上攻的主力。<BR>另一個盤面焦點是12月營收成長股，其中以太陽能表現較佳，昱晶（3514）、新日光（3576）、國碩（2406），以及上櫃股中美晶（5483）都持續成長，達能(3686)、單井(3490)二檔跌深股也大漲作收。<BR>除了太陽能之外，遊戲股再次帶動櫃檯指數走高，指標股：網龍(3083)、宇峻(3546)、鈊象(3293)大漲，智冠(5478)、橘子(6180)也上漲逾半根停板，即將邁入寒假旺季，又是過年連假，營收可望再創高。<BR>傳產股中以鋼鐵股表現較佳，低價、低位階是主因。中鴻(2014)、燁興(2007)、千興(2025)、中鋼構(2013)有多頭表現。<BR>如同昨天描述，台股指標已經低檔，又回補了2015/8/27的多方缺口，短線已經蘊釀止跌，但反彈力量仍需觀察，8050是強弱勢研判觀察，月均線8188是短線反壓。<BR>1. 熱門股：上證2x(00633L)、滬深2x(00637L)、T50反1(00632R)、富邦金(2881)、台積電(2330)<BR>2. 強勢股：達能(3686)、美律(2439)、台南(1473)、鈊象(3293)、聯合(4129)<BR>3. 弱勢股：美利達(9914)、上證反(00634R)、滬深反(00638R)、日月光(2311)、漢微科(3658)<BR>三大法人合計：- 31.7 億<BR>外資：- 49.3 億<BR>投信：- 3.9 億<BR>1. 賣壓強大！放空人民幣、台幣分創近6年、4個多月新高<BR>2. 中美晶(5483)2015年營收再創新高 太陽能業績創5年來最佳<BR>3. 金融業對中國曝險達2.75兆元 銀行占1.96兆元最多<BR>4. 上月營收亮眼 太陽能股逆勢發光<BR>5. 仲琦(2419)抱美洲金雞母 12月營收喜創新高<BR>以上內容由Yahoo!奇摩股市 與 CMoney理財寶 聯合提供
693,2016/1/8 17:50:00,聯發科去年業績超預期 再創新高,（中央社記者張建中新竹2016年1月8日電）手機晶片廠聯發科 (2454) 去年合併營收新台幣2132.55億元，較2014年再成長約0.09%，表現優於預期，再創歷史新高紀錄。<BR>去年因新興市場手機晶片需求一度受匯率波動劇烈影響而降溫，聯發科將全年智慧手機晶片出貨目標調降至4億套，並對去年營運表現展望保守，預估全年營收恐將衰退5%至10%。<BR>不過在高階智慧手機晶片出貨暢旺帶動下，聯發科去年第4季營運表現優於預期，單季合併營收達617.12億元，超越原訂570億至604億元目標，季增8.34%。<BR>隨著第4季營運攀高，聯發科2015年業績表現也優於預期，合併總營收達2132.55億元，較2014年再成長0.09%，續創歷史新高紀錄。
698,2016/1/8 19:20:00,聯發科12月營收月減11.6% 全年營收微增再創新高,鉅亨網記者蔡宗憲 台北IC設計聯發科 (2454) 今(8)日公布12月營收，達185.2億元，月減11.6%，年增8.47%，第4季在高階手機晶片市佔率提高推升下，達617億元，優於法說高標，去年全年營收也達2132.55億元，年增0.09%，也比原來法說預期的小幅衰退還好，全年營收同時也再創歷史新高。<BR>聯發科今日公布12月營收，達185.2億元，月減11.6%，年增8.47%，第4季營收為617億元，優於原先預期的570-604億元區間，季增8.34%。<BR>聯發科去年下半年由於美元強勢走強，新興市場景氣需求下滑，聯發科因此調降全年手機晶片出貨目標，降到僅4億套，同時也調整全年營收展望，從原先預估成長，調降到衰退5-10%，引起市場擔憂。<BR>不過，聯發科高階手機晶片市占率持續提升，其中包含4G晶片出貨成長，帶動第4季營收達617億元，優於原先法說預估的604億元高標，季增8%。<BR>在第4季超標帶動下，聯發科去年全年營收為2132.55億元，年增0.09%，比原先預估的衰退情況好，也再創歷史新高紀錄。<BR>展望第1季，聯發科表示，由於工作天數不足因素影響，預期營收會較第4季修正，不過全年手機晶片、營收與市佔率，預期都會較去年成長，對今年展望仍是正面看待。
878,2016/1/11 14:29:00,【台股盤後】失守7800點 政府基金護盤,（中央社記者吳家豪台北2016年1月11日電）台股今早盤一度跌逾150點，在國安基金與4大基金積極進場下，跌幅收斂，但仍失守7800點大關。法人表示，本週回測7500點的機率不高，預期將在7600到7980點之間震盪整理。<BR>國安基金執行秘書吳當傑表示，上週美股大跌，導致今天亞股表現普遍不佳，因此會積極護盤，確保台股盤勢穩定。<BR>受國際因素影響，台股今開盤一路下殺，早盤一度跌逾150點，最低來到7726.22點，失守10年線7890關卡，隨後在政府基金積極表態下，跌幅收斂至百點左右。<BR>終場台股加權股價指數收在7788.42點，下跌105.55點，跌幅1.34%，成交金額擴大到新台幣848.33億元。電子股跌1.25%，金融股跌2.17%。<BR>科技股表現相對弱勢，台積電 (2330) 收在133元，跌0.75%；股王大立光 (3008) 終場收在1935元，跌2.03%；鴻海 (2317) 收75.4元，跌3.33%；和碩 (4938) 收64.6元，跌3.58%；聯發科 (2454) 收209元，跌2.11%。<BR>凱基投顧台股策略分析師張明祥指出，選前政府基金護盤動作明顯，台股本週再跌300點、回測7500點關卡的可能性不高，預期將在7600到7980之間震盪整理。<BR>產業消息方面，張明祥表示，本週四台積電法說會可觀察今年上半年智慧型手機復甦強度，尤其是中國大陸市場，因為半導體庫存過去3季調整後，已在去年底消化得差不多，根據台積電法說給出的首季展望，可判斷大陸需求好壞。
1119,2016/1/13 13:50:00,高價及生技股回神 台股上漲56點,（中央社台北2016年1月13日電）歐美股市全面反彈，日韓股市跟進，台股也呈現跌深反彈格局，股王大立光開高震盪走高，以最高點1965元作收，大漲125元，帶動台股終場以7824.61點作收，上漲56.16點，重回7800點關卡。<BR>美股尾盤拉升翻紅，日股早盤開高一度上漲逾400點，韓股也上漲逾1%，港股也大漲逾400點。<BR>台股今天指數開盤突破7800點關卡及5日均線7814點後，買盤進場，跌深高價股及績優股表現相對較強，推升指數於9時22分上漲逼近百點，可惜追價力道不足。<BR>盤中因陸股由紅翻黑，台股指數壓回呈現橫盤整理，終場以7824.61點作收，上漲56.16點，重回7800點關卡及5日均線7814點，成交值新台幣742.73億元。<BR>台股今天由跌深績優股領軍，大立光與碩禾分別重回1900元及600元整數關卡，最高上漲125元及26元，為多頭反彈指標，弱勢股聯發科、宸鴻也見止跌；跌深的生技股浩鼎、中裕、東洋、智擎也出現強勢反彈。<BR>進入總統大選前倒數三天交易日，部分散戶、主力等待選舉結果，但法人開始進場承接跌深績優股及乖離率較大的個股；法人表示，台積電及大立光14日的法人說明會是短線市場焦點所在，選舉結果、陸股、蘋果概念股、國際油價、匯率仍是左右台股的重要因素。
1666,2016/1/19 14:27:00,【台股盤後】電金翻漲 攻上7850,（中央社記者鍾榮峰台北2016年1月19日電）電金反彈，台股終場收在今日最高點，收復7850整數關卡。法人表示，總統大選後台股行情不悲觀，第1季台股仍有表現機會。<BR>台股今天呈現區間震盪整理走勢，盤中中國大陸官方公布去年國內生產毛額(GDP)年增6.9%，是1990年來首次跌破7%，台股盤中受累數度失守7800點大關。<BR>午盤電子翻紅、金融回神，大盤重回7800點之上，收復10日線約7828點，逼近7850整數關卡。尾盤電金反彈，台股收復7850整數關卡。<BR>終場台股加權股價指數收在7854.88點，上漲43.7點，漲幅0.56%，成交金額新台幣734.41億元。電子股漲0.73%，金融股漲0.51%。<BR>主要電子股互有漲跌，台積電 (2330) 收在138元，漲0.7%。股王大立光 (3008) 翻紅，終場收在2025元，漲1.5%。鴻海 (2317) 收75.3元，漲0.5%，日月光 (2311) 收34.35元，跌2%。可成 (2474) 收232元，漲5.9%。南亞科 (2408) 收41.3元，跌3.8%。聯發科 (2454) 收216.5元，漲3.1%。<BR>金控股國泰金 (2882) 收35.3元，漲0.8%，富邦金 (2881) 收37.15元，跌0.5%，中信金 (2891) 收15.25元，漲0.3%。<BR>台新投信國內股票投資部協理沈建宏表示，儘管歷史經驗顯示總統大選後3個月到6個月相對走弱，不過推測今年農曆年後，台股指數應有反彈表現，選後行情不悲觀，今年台股表現可先蹲後跳。<BR>觀察1月，沈建宏指出，1月台股有晶圓代工龍頭法說、總統與立委大選、蘋果財報以及春節長假前觀望效應等變數，大部位資金恐難進場，此外人民幣匯率波動與油價破底，1月台股指數將區間震盪，個股表現較優。<BR>沈建宏表示，觀察第1季，晶圓代工龍頭台積電法說釋出正面訊息，大選變數與長假效應即將過去，外資在台股持續維持未平倉多單，仍在尋找機會，預期農曆年後台股行情可轉佳，第1季台股仍有表現機會。
2453,2016/1/27 07:35:00,《半導體》需求續強，瑞昱Q1業績樂觀,網通IC廠瑞昱 （2379） 昨（26）日法說會交出去年第4季營收創新高達92.40億元、獲利季增2成，上季財報表現優於預期之外，瑞昱對第1季釋出正面樂觀的看法，也超乎法人的期待。<BR> 瑞昱最主要的國際競爭對手為美國博通（Broadcom），博通在去年以370億美元併給新加坡安華高（Avago）至今年以來，市場上即不斷傳出聯發科 （2454） 有意併購瑞昱，雖傳言總是被雙方否認。不過，瑞昱昨日在法說會上則表態指出，若不針對特定對象進行回應，依整個產業整併趨勢來看，瑞昱不論是購併別人、或是被別人購併，都是持開放的態度。<BR> 瑞昱去年第4季受惠於電腦、藍牙、交換器等產品需求轉強，單季營收、獲利交出淡季逆勢成長佳績。去年第4季合併營收92.40億元，季成長16.79％、改寫歷史新高紀錄、毛利率則提升至43.30％、單季稅後淨利為7.22億元，季成長率達20.33％，每股淨利為1.43元。<BR> 瑞昱去年合併營收達317.46億元，年成長率1.5％，毛利率達42.8％，較前一年度下滑約1.45個百分點。<BR> 在獲利方面，由於2014年進行處分轉投資創傑而認列業外收益、墊高年度獲利基期，因此2015年全年稅後淨利為24.28億元，較前一年度減少37.63％，全年每股賺4.81元、低於前一年度的7.71元。<BR> 進入2016年，由於去年第4季開始，終端客戶需求轉強，該動能可望延續到今年第1季，因此對第1季營運展望樂觀，惟仍有春節假期因素存在。<BR> 從各項產品市場來看，瑞昱認為，雖然各界普遍對於今年個人電腦市場的看法較為保守，因此預期今年個人電腦產品約持平表現、至於非個人電腦產品則有機會在今年會有較多的成長空間，包括持續看好無線網路、藍牙、交換器等產品的表現。 （新聞來源：工商時報─記者楊曉芳╱台北報導）
2715,2016/1/28 19:08:00,智慧手機成長趨緩？童子賢：只是長跑者的撞牆期,鉅亨網記者蔡宗憲 台北蘋果( (US-AAPL) )手機本季銷量不如預期，台北市電腦公會理事長童子賢今(28)日指出，生命會自己找到出路，產業有自己的生命，只要布局好就會有出路，他也看好未來物聯網將會推升更多市場需求，手機對處理器、晶片乃至於晶圓代工需求量都會增加，短期只是頓挫，就像長跑者有撞牆期，克服苦難後跑起來會很愉快。<BR>童子賢指出，2007年華碩 (2357) 做品牌筆電時，產業正是低迷時，當時市場也對未來發展多偏悲觀，但Google與蘋果後來分別推出產品，再度帶動經濟成長，產業自己有生命，只要布局好就會有出路。<BR>他認為，物聯網現在也是早期階段，未來將推升資料中心等需求應用，手機也會成為重要的Hub(中樞)產品，重要性會更高，隨著效能提升，手機對處理器晶片的需求也會愈來愈高，可望帶動聯發科乃至晶圓代工廠商的機會，短期市場只是頓挫，就像長跑者會有撞牆期，克服痛苦後跑起來會很愉快。<BR>童子賢強調，今年有些產品會有調整，如智慧手機裝置也進入資源調整年，市場對後市不用太悲觀，過度悲觀會把自己嚇笨。他強調，產業發展要積小勝為大勝，產品背後有很多設計與材料的基礎。
