,post_time,title,content
204,2016/1/4 19:30:00,台股紅盤日慘綠 外資大砍139億 台積電首當其衝,歐美股市大跌，2016年第一個交易日亞股也全面跟跌，台股指數開低走低，權值股則是重災區，台灣50成分股僅剩華亞科一檔逆勢抗跌，終場指數重挫223.8點，以8114.26點作收。三大法人也全面賣超，外資大舉賣超139.36億元，為2015年11月30日以來新高，投信賣超2.87億元，自營商賣超31.36億元，合計賣超173.6億元。<BR>期貨部分，三大法人則是以自營商較為看多，單日回補空單1475口，淨部位淨空單降到1476口。外資也減碼多單2154口，淨部位淨多單降回2萬口以下，為17820口；投信續加碼空單392口，淨部位淨空單為7554口；合計三大法人今天共減碼多單1071口，淨部位淨多單又降到萬口以下，為8790口。<BR>外資今天賣壓主要都集中在權值股，包括電子跟金融權值股，其中台積電更遭賣超逾2萬張，創下11月30日以來單日賣超最大量，另外聯電也同樣遭外資大賣超。而面板雙虎友達跟群創也難逃賣超。<BR>至於金融股的賣壓也同樣沉重，中信金、國泰金、新光金、開發金、玉山金、永豐金、元大金、台新金等，外資賣超張數也都超過1萬張，顯示外資面對歐美股市大跌，砍權值股換現金目的相當明顯。<BR>今天外資集中市場買超第1名為英業達，買超張數4963張，第2名臺鹽，買超4770張，第3名華通，買超2803張，第4名智易，買超2134張，第5名宏達電，買超1554張。6到10名依序為，中石化，買超1539張；長榮航，買超1148張；滬安，買超1136張；國喬，買超1031張；力成，買超1009張。<BR>外資集中市場賣超第1名台積電，賣超張數20539張，第2名中信金，賣超張數19335張，第3名鴻海，賣超19129張，第4名國泰金，賣超17328張，第5名群創，賣超16945張。6到10名依序為，友達，賣超15976張；新光金，賣超15292張；聯電，賣超13288張；開發金，賣超12925張；玉山金，賣超12758張。<BR>法人指出，陸股今天成為亞股中的重災區，尤其熔斷機制才第一天上路，就觸發了，應該與12月財星中國製造業PMI數據由11月的48.6降至48.2，並創下9月以來新低有，因此上海綜合指數盤中大跌超過6.8%，深圳更下挫超過8.1%，因此要先觀察資金是否進一步撤出新興亞洲市場，回流歐美的跡象。另外台股今天主要是因為歐美股市大跌，根據歷史經驗，外資在美股大跌後都會砍台股抽資金，因此今天大跌過後，要觀察明天能否止跌回穩，否則即有回測前波低點7980點的機率。
612,2016/1/8 07:44:00,《各報要聞》護盤！政府基金加碼挺台股,"國際利空連環爆，台股因內外利空夾擊，昨（7）日開盤後摜破10年線，午盤更一度暴跌220點，惟國安、政府基金力挺台股，逢低大舉進場護盤，八大官股券商昨天買超逾49億元，是去年7月9日以來最大買超，買超力道還超過去年8月下旬全球股災，拉抬大盤指數跌幅收歛，留了82點下影線。<BR> 本周開紅盤以來，國際政經情勢每日一爆，美股與陸股「接龍」重挫，周三道瓊指數跌破1.7萬點，以大跌1.47％作收，陸股熔斷機制上路4天，昨一早再度提前收市，台股深受美陸股大跌之害，引發市場全面恐慌，國安基金再度銜命進場護盤。<BR> 連４日外資丟、官股撿<BR> 台新投顧統計，台股開紅盤4個交易日，外資連4賣，合計賣超350億元，八大官股券商則連4買，昨天買超49.88億，合計買超近137億元，呈現「外資丟、官股撿」，顯示政策力挺台股。<BR> 買超前15檔，金融占10<BR> 據統計，八大官股券商昨天買超台股最多前15個股為新光金、台積電、聯電、國泰金、兆豐金、台塑、鴻海、彰銀、富邦金、日月光、華南金、元大金、開發金、永豐金及中信金等，其中金融股就占了10檔。<BR> 華南投顧董事長儲祥生表示，政策護盤意圖明顯，所幸有政策護盤基金進場點火拉抬大型權值股，讓指數拉升、留了82點下影線，否則台股若收在最低點，盤勢可能會更悲觀。<BR> 台新投顧協理黃文清分析，八大官股券商昨買超近50億，是去年7月8日當天買超55.9億之後的最大買超，比去年8月下旬全球股災及台股一度殺到7,203點時的買超護盤金額還大，可見政策護盤相當積極。<BR> 專家：投資人仍要謹慎<BR> 投資專家認為，近來受到美國第1季經濟預期不佳、人民幣重挫加速資金大舉外逃、北韓成功試爆，陸股大股東賣股禁令即將解除，造成投資人恐慌，引發陸股爆跌，加上昨國際油價大跌，驚見「2」字頭，台股後市仍有隱憂。<BR> 在國際局勢尚未穩定前，儲祥生建議投資人操作仍要謹慎，接下來要看政策護盤是否持續，買盤力道是否擴大。<BR> 台股昨一早就跌破10年線7,882點，近午盤更重挫220點，指數最低來到7,770點，國安、政府基金旋即進場護盤，指數跌幅收歛，最後以下跌138點，收在7,852點，成交量也放大至1,175億元，為去年12月1日來最大量。（新聞來源：工商時報─記者呂淑美╱台北報導）"
2237,2016/1/25 12:20:00,台股盤中─蘋概、金融股暖暖包 大漲百點叩關7900,鉅亨網記者趙曉慧 台北台股今(25)日在美股大漲，大立光點火蘋概股、外資回補金融股的激勵下，帶動台股衝破7800點關卡，盤中大漲逾130點，一度叩關7900點。但分析師認為，這只是跌深反彈而已，未必是全球股市已見回穩，下週就是過年來，台股依舊是量縮格局，量能要再進一步擴大很有限。<BR>油價反彈帶動投資信心，美股上週五以長紅作收，道瓊工業指數上週五上漲210.83點收16093.51點；那斯達克指數上漲119.124點，收4591.180點。<BR>台股今天因此受到激勵，先以上漲57.55點開盤、成為7813.73點，之後一路開高走高，盤中大漲逾130點，一度準備向7900點扣關。<BR>今天的台股領頭羊是蘋概股與金融股。蘋概股的指標大立光，早盤反彈漲逾5.5%，股價站回2000元之上；本週三27日舉行線上法說會的聯電，本季可望淡季不淡，盤中股價漲約2%。金融股方面，玉山金短線股價跌多，今天彈升逾3.5%。<BR>上週末台灣遭遇霸王級超級寒流，寒冬商機概念股意外受惠。生產抗凍劑的EG大廠東聯掀補漲風，早盤大漲6%站上月線；網通的神準獲利與現金股利看俏，今天強彈6%收復各均線。<BR>國際股市醞釀反彈，但分析師王榮旭認為，目前看起來多屬上漲1、2天的跌深反彈而已，還要再觀察；特別是下週台灣要過年了，年前成交量依舊緊縮，預估僅700億元，量能要擴大很有限。在此之前，中小型股、生技、網通都可以留意。<BR>元大投顧指出，國際股市醞釀跌深反彈，半導體、塑化、記憶體模組、汽車零組件等個股躍躍欲試，是可以特別留意的族群。但是2月19日浩鼎解盲前，市場對新藥股有所顧忌，暫時保持觀望為宜。
2283,2016/1/25 20:57:00,美超級財報周外資續回補蘋概指標股 三大法人買超74億,鉅亨網記者李宜儒 台北國際油價大漲，激勵全球股市回穩，台股也在蘋概及金融雙主流族群強攻推升下，指數最高來到7899.66點，終場上漲137.97點，以7894.15點作收，順利收復10日線及10年線。三大法人也同步轉為買超，外資買超59.46億元，投信買超3.61億元，自營商買超11.84億元，合計買超74.92億元。<BR>期貨部分，三大法人則是呈現土洋對作，外資減碼多單153口，淨部位淨多單為24070口；自營商回補空單895口，淨部位淨空單為2327口；投信也回補空單488口，淨部位淨空單6329口；合計三大法人今天共加碼多單1230口，淨部位淨多單為15414口。<BR>外資連續2天加碼蘋概股，包括台積電、可成、日月光、鴻海、和碩、正崴、F-臻鼎、F-TPK、F-鎧勝等，也都獲得外資買盤加持。<BR>另外近期台股重災區金控股今天終於稍稍減緩，儘管中信金、富邦金、元大金、第一金、新光金、台新股、國票金仍是遭外資砍單標的，不過永豐金、開發金、玉山金、合庫金、兆豐金、國泰金已經開始見到外資買盤湧進。<BR>值得注意的是，蘋概股的領頭指標大立光，今天也終於見到外資賣壓減緩，尤其券商在蘋果財報即將公布之際，外資回補大立光持股，一方面是因為大立光跌幅已深，另一方面也不排除是外資預期蘋果表現，先行卡位。<BR>外資集中市場買超第1名為華邦電，買超張數12299張，第2名永豐金，買超8731張，第3名開發金，買超8654張，第4名英業達，買超7610張，第5名中鋼，買超7505張。6到10名依序為，台積電，買超7151張；中華電，買超7138張；玉山金，買超5171張；昱晶，買超4920張；聯電，買超4703張。<BR>外資集中市場賣超第1名中信金，賣超張數29033張，第2名友達，賣超張數24254張，第3名富邦金，賣超18926張，第4名元大金，賣超13022張，第5名矽品，賣超3448張。6到10名依序為，第一金，賣超2995張；興富發，賣超2645張；緯創，賣超2158張；新光金，賣超1844張；華亞科，賣超1533張。<BR>法人表示，台股今天出現強勢反彈，不過成交值卻無法有效放大，而且主流族群仍是集中在電子及金融股，一方面透露出今天的大漲主要是因這兩大族群跌深鎖出現反彈，另一方面，也是因為本周是美股超級財報周，外資提前回補已經跌深的蘋概股，如果蘋果對於後市展望依然樂觀的話，預料蘋概股可望延續漲勢，台股也有機會朝向8000點挑戰，不過台股半年線8248點反壓較大，預料台股將在7900點到半年線之間盤整。
2468,2016/1/27 08:25:00,【Y早報】OPEC暗示減產 油漲股升,（開盤日9:00出刊）美股道瓊狂漲283點，OPEC暗示減產；金管會整頓TRF，九銀行挨罰、2家暫停銷售<BR>平均得分：5.5分<BR>綜合評析：多方進２退１，目標8000<BR>國際股市：6分<BR>美股大漲，油價反彈<BR>1. 消費者信心指數表現優於市場預期，道瓊大漲283點<BR>2. 紐約原油上漲逾3%，泛歐指數黑翻紅，收高0.9%<BR>3. 投資人獲利了結，日經 225 指數重挫 402.01 點<BR>4. 春節導致場內觀望氣氛濃厚，上證綜指重挫 188.73 點<BR>未來的變數：<BR>1. OPEC減產幅度<BR>2. Fed是否暫緩升息<BR>3. 日本央行是否續推QE<BR>籌碼變化：5分<BR>外資投信同步加碼：聯電、勝麗<BR>外資投信同步賣超：宏捷科、朋程、華星光<BR>(註：以各項排名前十名做篩選)<BR>1. 外資: - 46.2 億<BR>2. 投信: + 1.6 億<BR>3. 官股券商 + 11.9 億<BR>4. 外資期指 淨留倉 + 2.35 萬口 減少<BR>5. 融資餘額: + 3.21 億(店頭市場 + 1.77 億)<BR>6. 融券餘額: + 799 張<BR>技術面訊號：5分<BR>1. 加權市場成交金額 623億，量縮<BR>2. 加權指數 – 65.4 點，守住7800<BR>3. 下檔支撐：7600-7630<BR>4. 上檔反壓：8050-8100<BR>5. KD值 62.5，上揚<BR>6. RSI 5 值 52.5，下滑<BR>消息面多空：6分<BR>財經頭條：<BR>工商時報：OPEC暗示減產 油漲股升<BR>經濟日報：整頓TRF 九銀行挨罰<BR>利多：<BR>1. 道瓊大漲283點收16167點 油價反彈3M大漲<BR>2. OPEC會員國暗示合作 原油收高1.11美元<BR>3. 金價2連漲收1122美元創3月新高 美元走弱支撐金價<BR>4. 17個月首見 中鴻(2014)新盤價全面調漲<BR>5. 中鋼(2002)：別觀望 快進料<BR>6. 黑松(1234) 今年營收至少增30億<BR>7. 仁寶(2324)全年平板出貨量 看增3成<BR>8. 寒流來襲 生技股受惠<BR>9. i7 Plus雙照鏡頭有譜 大立光飆<BR>10. 美食(2723) 有望賺一股本<BR>利空：<BR>1. 金管會整頓TRF 九銀行挨罰<BR>2. 上證13月新低 深證下探萬點<BR>3. 達鴻(8056)聲請重整 凍結債權執行<BR>4. 中國去年鐵路貨運量 五年新低<BR>5. 巴隆看亞股 還會有低點<BR>註:綜合分數表示意義:<BR>8分以上，暗示行情有過熱疑慮<BR>5分表示行情中性發展<BR>2分以下，暗示行情恐過度悲觀<BR>以上內容由Yahoo!奇摩股市 與 CMoney理財寶 聯合提供
2472,2016/1/27 08:30:00,統一證券：籌碼面有利多方，台股有機會打底止穩,：受前一日歐美股市重挫拖累，昨日台股開盤下跌62點以7832點開出後，早盤賣單湧現指數震盪走低，盤中一度跌破7800點；多頭進場拉抬汽車零組件及網通族群，指數跌幅略為收斂，然而金融、塑化等權值股持續弱勢，指數持續弱勢震盪直至尾盤。觀察盤面變化，電子類股下跌0.74%，傳產類股下跌0.72%，金融類股下跌1.49%。電子次族群僅光電類上漲2.08%表現最佳，而電腦週邊設備及半導體下跌1.23%及1.15%表現最差。傳產族群中較弱勢為紡織、水泥及汽車，分別下跌1.18、1.19%及1.63%。終場加權指數下跌65點，收在7828點，成交量能為617億元。<BR>：三大法人合計賣超54.59億元。其中外資賣超46.18億元，投信買超1.59億元，自營商賣超10億元。外資買超前五大為聯電、華邦電、緯創、矽品、英業達；賣超前五大為中信金、台新金、友達、國泰金、新光金。投信買超前五大為穩懋、集盛、聯電、智邦、國碩；賣超前五大為潤泰新、中美晶、百和、中鋼、立隆電。資券變化方面，融資增3.2億元，融資餘額為1370億元，融?增0.08萬張，融券餘額為50.8萬張。外資台指期部位，淨多單減少617口，淨多單部位2.3萬口，借券賣出金額35.1億元。<BR>：隨著農曆春節長假將近，台股最近三個交易日成交量能急縮，昨日成交量僅615億元創下今年來新低量，指數遇十年線及月線反壓，順勢拉回修正。不過，考量台股短線順利站上五日、十日均線，且外資期貨多單達2.3萬口水準，建議可逢指數拉回時擇優低接布局。展望後市，觀察重點如下：第一、國際市場方面，1/26、27美國聯準會召開會議，市場普遍認為聯準會本次會議不會升息，加上日前歐洲央行暗示，如果通膨持續放緩，可能於3月加碼振興措施，預料市場資金面仍維持寬鬆政策。第二、石油輸出國組織(OPEC)再次呼籲競爭對手產油國與其攜手減產，伊拉克石油部長週二表示，OPEC的主要成員國沙烏地阿拉伯與最大的非成員產油國俄羅斯之間在達成解決原油供應過剩的協議方面存在變通可能，激勵油價昨日再度反彈上漲，紐約西德州原油及布蘭特原油漲幅階達3%以上，雙雙站上31美元，歐美股市亦同步走揚，油價若能在30美元附近進行築底，將有助於國際股市止跌回穩。第三、觀察昨日盤面狀況，台股成交量縮至600億元左右，大型權值股走勢疲弱，金融股富邦金、國泰金跌幅達2%以上，為盤面最弱族群。盤面逆勢上漲的族群仍為中小型個股，具有網路背景的張善政接任閣揆，網通族群再度獲得買盤青睞，建漢及台通強勢表態，原本的強勢指標智邦、正文及仲琦亦同步走揚。此外，第一季為汽車零組件的傳統旺季，同致連續四個交易日上漲，皇田、宇隆、F-貿聯、朋程等亦維持平盤之上。第四、技術面觀察，台股周一反彈大漲百點，但大漲後隨即遇到十年線及月線反壓，在量能不足下昨日指數順勢拉回修正，目前台股守穩在五日及十日均線之上，且日KD指標低檔向上走揚，指數下檔有撐。另就籌碼面觀察，外資期貨未平倉淨多單達2.3萬口，籌碼面有利多方，未來成交量若能同步放大，盤勢則有機會延續反彈走勢向上挑戰月線壓力區。<BR>：台股最近三個交易日成交量能急縮，昨日成交量僅615億元創下今年來新低量，加上上方十年線及月線壓力沉重，指數順勢拉回；但考量台股短線站上五日、十日均線，且外資期貨多單達2.3萬口水準，籌碼面仍有利多方；且國際股市美股道瓊與油價來回築底醞釀反彈，台股有機會打底止穩，如果成交量能同步放大，指數有機會緩步向月線靠攏，建議可逢指數拉回時擇優低接布局。在選股上仍以業績好，內資青睞之族群為首選，如汽車零組件、塑化、紡織下游、半導體、網通及遊戲族群等。
2688,2016/1/28 14:50:00,台股盤後－股王權王領軍 摩台拉高結算 指數漲21點 站上7900,美國宣布暫緩升息，亞股陷入盤整，台股則是在股王大立光及權值王台積電聯袂穩盤下，早盤雖然開低回測7800點，不過低接買盤隨即出籠，蘋概股強勢表態，加上摩台也拉高結算，推升指數順利回到平盤之上，並朝向7900點邁進，盤中最高來到7921.06點，終場上漲55.27點，以7905.1點作收，成交值也回升到700億元以上，達787.71億元。<BR>櫃檯指數也是開低走高，早盤回測119點支撐後，就直接拉高到120點之上，終場上漲1.11點，以120.71點作收，成交值為214.38億元。<BR>台股各大類股漲多於跌，僅玻陶、油電燃氣及鋼鐵類股收黑，至於漲幅最高的則是光電類股，上漲1.8%，食品、電機機械、貿易百貨、橡膠、紡纖、化學等，漲幅也都在1%以上，資訊服務、化學生醫、觀光、金融、水泥、建材營造、航運、塑膠、半導體、生醫、電子通路、電腦設備、汽車、電子零組件、電器電纜、造紙、通信網路等，也均收紅。<BR>蘋果股價大跌，不過台灣蘋概股卻是利空不跌，其中股王大立光開低後就一路拉升，接連收復2100元及2200元的整數關卡，最高衝到2285元，頗有挑戰季線2307元的氣勢，終場上漲100元，以2260元作收。蘋概四雄除了大立光大漲外，可成也上漲6.5元，終場收在230元，不過和碩及鴻海則稍弱，分別下跌0.6元及0.2元。<BR>台積電也是在平盤上下震盪，終場小漲0.5元，以140元作收。而今天將舉行法說會的聯電，盤中則是一度攻上漲停，終場大漲1.05元，以12.75元作收。其他的蘋概股表現相對強勢的則有，景碩上漲9.4%，瑞昱上漲7.4%，F-鎧勝上漲5%，欣興上漲4%。<BR>至於原先的強勢族群網通股今天則是呈現拉回整理，智邦下跌0.75元，以35.6元作收；仲琦也下跌0.75元，收在20.9元；建漢下跌0.75元，以21.55元作收。<BR>另外金融股也扮演了撐盤要角，包括兆豐金、第一金、合庫金、永豐金、新光金、國票金等，漲幅都在1%以上。<BR>顧德投顧分析師顧奎國表示，台股今天表現強於亞股，不過就目前的台股盤勢來看，還是維持區間整理格局，預料在農曆封關年前，台股指數區間仍將維持在7600-7980點之間。至於會影響台股表現的因素，除了各家公司陸續公布的財報外，國際油價走勢也要持續觀察。
2691,2016/1/28 15:02:00,《集中市場》外資買超50億元，台股注入強心針,昨日美股重挫，加上滬指雖然在破底之後站回2700點，仍陷弱勢之危。台股與美、陸走勢漸脫勾，今日大立光 (3008) 、台塑集團股以及金融股反彈；春節連假倒數計時，觀光、餐飲、百貨等相關族群預期9天長假營收成長可期，股價水漲船高。在題材股走揚帶動下，大盤攻上7900點並突破月線，雖然接近封關日，市場心態保守，但量能有增溫跡象，收盤台股上漲55.27點，為7905.1點，成交量787.71億元。外資今日買超50.0417億元，投信賣超2.2974億元，自營商買超5.5614億元，合計買超53.3057億元。<BR> 類股漲多跌少，食品及紡織漲幅皆逾1%，金融類股上漲0.8%；玻璃、鋼鐵股則弱勢收黑。上市成交量前5大個股為：聯電 (2303) 、富邦金 (2881) 、台積電 (2330) 、中信金 (2891) 、英業達 (2356) 。成交額前5大個股為：台積電、大立光 (3008) 、可成 (2474) 、聯電、鴻海 (2317) 。<BR> 聯電去年第四季每股純益0.25元，優於預期；去年全年每股純益1.08元，為近五年高點；今年聯電首季營運展望持平，全年在28奈米產能提升，及車用半導體應用增加下，展望樂觀，盤中亮燈漲停，收盤上漲8.9%。大立光反轉強彈，由低點2080元開盤後一路走高，盤中並以2285元創下今年來新高價，終場收漲4.6%，為2260元。台積電申請赴中國設12吋晶圓廠，經濟部投審會已排定2月3日召開委員會議討論，市場認為此案沒有中資參股，過關機率高；今日股價於138~140元高檔區間震盪，尾盤收紅，來到140元。<BR> 台股5日RSI為62.85，10日RSI為51.07，9日K值為77.45，9日D值為62.07，20日乖離率為0.44。外資轉向，買超台股50億元，為後市注入強心針，惟接近農曆長假市場擔心國際股市變數多，投資人多半避免抱股過年，現階段台股攻克7900點，先以跌深反彈視之。（編輯整理：張嘉倚）
2858,2016/1/29 18:55:00,台股大演紅包行情 外資買超創近4月高 三大法人買超144億,美股止跌回穩，亞股同步回升，台股更是大演紅包行情，早盤開低震盪後，隨著蘋概、金融、傳產等權值股聯袂大漲，指數中場就突破8000點大關，尾盤再度出現急拉，終場大漲175.5點，以8080.6點最高點作收，成交值也衝高到1111.74億元。三大法人更是同步買超，外資買超114.87億元，是2015年11月4日以來新高，投信買超4.51億元，自營商買超26.11億元，合計買超144.87億元。<BR>期貨部分，三大法人連續2天同步站在多方，外資加碼多單379口，淨部位淨多單達31010口；自營商回補空單322口，淨部位淨空單為1931口；投信也回補空單348口，淨部位淨空單6005口；合計三大法人今天共加碼多單1049口，淨部位淨多單達23074口。<BR>外資今天成為台股上演紅包行情的主要推手！回補的持股遍及電子、金融及傳產權值股，除了晶圓雙雄聯電及台積電雙雙躍居外資買超前2名外，包括開發金、中信金、第一金、國泰金、永豐金、兆豐金更是擠入外資買超前10名，推升台股指數得以在價量配合下，順利越過8000點整數關卡，並繼續站穩在月線之上。<BR>蘋概股今天也是外資回補持股的重點族群，包括鴻海、日月光、鴻準、F-鎧勝、和碩、台郡、可成、大立光等，其中股王大立光今天續獲買超211張，連2天買超。<BR>不過外資對於金融股也非全面轉買為賣，包括富邦金、元大金仍續遭外資賣超，其中富邦金更連遭外資賣超18天，富邦金股價也從41元跌到34元，外資賣壓何時減緩值得觀察。<BR>外資集中市場買超第1名為聯電，買超張數28885張，第2名台積電，買超19855張，第3名開發金，買超15763張，第4名中信金，買超12264張，第5名第一金，買超11663張。6到10名依序為，國泰金，買超11616張；英業達，買超11448張；永豐金，買超10767張；兆豐金，買超10423張；鴻海，買超9929張。<BR>外資集中市場賣超第1名富邦金，賣超張數39176張，第2名元大金，賣超張數19429張，第3名友達，賣超18493張，第4名中鋼，賣超6757張，第5名欣興，賣超6591張。6到10名依序為，華通，賣超2470張；中工，賣超1821張；F-中租，賣超1751張；華亞科，賣超1720張；矽品，賣超1497張。<BR>國泰證期顧問處協理簡伯儀表示，台股今天續強，並順利突破8000點大關，且就外資進出狀況來看，外資今天再現近4個月以來的大舉買超動作，同時在台指期部位也維持加碼多單，讓目前的淨多單部位仍維持在3萬口以上的相對高水位，基本上，在外資台期指部位尚未出現大幅減碼多單之前，台股在農曆春節封關之前，短線仍以偏多看待。台股指數也連續2天站穩在月線之上，如果能續穩在月線之上，並帶動月線翻揚向上，對台股後續走勢將會更為有利。
2859,2016/1/29 18:55:00,台股大演紅包行情 外資買超創近4月高 三大法人買超144億,鉅亨網記者李宜儒 台北美股止跌回穩，亞股同步回升，台股更是大演紅包行情，早盤開低震盪後，隨著蘋概、金融、傳產等權值股聯袂大漲，指數中場就突破8000點大關，尾盤再度出現急拉，終場大漲175.5點，以8080.6點最高點作收，成交值也衝高到1111.74億元。三大法人更是同步買超，外資買超114.87億元，是2015年11月4日以來新高，投信買超4.51億元，自營商買超26.11億元，合計買超144.87億元。<BR>期貨部分，三大法人連續2天同步站在多方，外資加碼多單379口，淨部位淨多單達31010口；自營商回補空單322口，淨部位淨空單為1931口；投信也回補空單348口，淨部位淨空單6005口；合計三大法人今天共加碼多單1049口，淨部位淨多單達23074口。<BR>外資今天成為台股上演紅包行情的主要推手！回補的持股遍及電子、金融及傳產權值股，除了晶圓雙雄聯電及台積電雙雙躍居外資買超前2名外，包括開發金、中信金、第一金、國泰金、永豐金、兆豐金更是擠入外資買超前10名，推升台股指數得以在價量配合下，順利越過8000點整數關卡，並繼續站穩在月線之上。<BR>蘋概股今天也是外資回補持股的重點族群，包括鴻海、日月光、鴻準、F-鎧勝、和碩、台郡、可成、大立光等，其中股王大立光今天續獲買超211張，連2天買超。<BR>不過外資對於金融股也非全面轉買為賣，包括富邦金、元大金仍續遭外資賣超，其中富邦金更連遭外資賣超18天，富邦金股價也從41元跌到34元，外資賣壓何時減緩值得觀察。<BR>外資集中市場買超第1名為聯電，買超張數28885張，第2名台積電，買超19855張，第3名開發金，買超15763張，第4名中信金，買超12264張，第5名第一金，買超11663張。6到10名依序為，國泰金，買超11616張；英業達，買超11448張；永豐金，買超10767張；兆豐金，買超10423張；鴻海，買超9929張。<BR>外資集中市場賣超第1名富邦金，賣超張數39176張，第2名元大金，賣超張數19429張，第3名友達，賣超18493張，第4名中鋼，賣超6757張，第5名欣興，賣超6591張。6到10名依序為，華通，賣超2470張；中工，賣超1821張；F-中租，賣超1751張；華亞科，賣超1720張；矽品，賣超1497張。<BR>國泰證期顧問處協理簡伯儀表示，台股今天續強，並順利突破8000點大關，且就外資進出狀況來看，外資今天再現近4個月以來的大舉買超動作，同時在台指期部位也維持加碼多單，讓目前的淨多單部位仍維持在3萬口以上的相對高水位，基本上，在外資台期指部位尚未出現大幅減碼多單之前，台股在農曆春節封關之前，短線仍以偏多看待。台股指數也連續2天站穩在月線之上，如果能續穩在月線之上，並帶動月線翻揚向上，對台股後續走勢將會更為有利。
