,post_time,title,content
185,2016/1/4 15:04:00,【Y晚報】台股開紅盤日大跌223點 創17年最大,（開盤日15:30出刊）美股連續二天下挫，台股今天面臨補跌，只不過這個短線補跌，卻引發了多頭的多殺多。根據統計，今日是台股17年以來最慘的一次新年開盤日，台股收盤下跌223點，以8114點作收，一口氣跌破8300、8200點二道整數關卡，成交量放大至760億。<BR>亞洲股市也難逃賣壓，尤其是陸股今天賣壓「超級沉重」。研判與12月財新中國製造業PMI數據，由前月的48.6降至48.2，創9月以來新低有關，由於萎縮惡化比預期嚴重，造成上海綜合指數盤中大跌超過6.8%，深圳更是下挫超過8.1%。接下來要留意的是資金是否進一步撤出新興亞洲市場，回流歐美，但這應只是短期現象。<BR>伊朗試射飛彈，與美國再啟衝突，預料原油極有可能再次成為角力的工具，因此油價再走跌的預期心理，影響了國際股市。不過真正讓國內投資人擔憂的還是十二天後的總統大選。目前三位總統候選人的政見發表會以及辯論已經順利落幕，在野黨蔡英文民調持續領先，市場擔憂選後會大跌，因此大多數人選擇先賣如果市場上大多數人都這麼做，選後利空出盡的機率也會提高。<BR>年前跟大家提示，本週會有多空表態的機會，今天出現帶量下殺的長黑Ｋ氣勢線，次日若不強彈，台股將回測前低7980。穩健的操作原則是先減碼，待行情穩定之後再來佈局。<BR>1. 熱門股：上證2x(00633L)、滬深2x(00637L)、T50反1(00632R)、友達(2409)、聯電(2303)<BR>2. 強勢股：台鹽(1737)、擎亞(8096)、聯昌(2431)、單井(3490)、南緯(1467)<BR>3. 弱勢股：國泰金(2882)、宏盛(2534)、台化(1326)、台塑(1301)、上證2x(00633L)<BR>三大法人合計：- 173.6 億<BR>外資：- 139.3 億<BR>投信：- 2.8 億<BR>1. 安倍晉三：日本已脫離通貨緊縮！<BR>2. 電子支付落後中國10年 曾銘宗：3家電子支付商首季全面開業<BR>3. 12月財新中國製造業PMI萎縮惡化遜預期！上證摔4%<BR>4. 景氣低緩 中經院12月製造業PMI連6月緊縮<BR>5. 無薪假進入傳統高峰 12月增8家廠商、增379人 共4756人<BR>以上內容由Yahoo!奇摩股市 與 CMoney理財寶 聯合提供
204,2016/1/4 19:30:00,台股紅盤日慘綠 外資大砍139億 台積電首當其衝,歐美股市大跌，2016年第一個交易日亞股也全面跟跌，台股指數開低走低，權值股則是重災區，台灣50成分股僅剩華亞科一檔逆勢抗跌，終場指數重挫223.8點，以8114.26點作收。三大法人也全面賣超，外資大舉賣超139.36億元，為2015年11月30日以來新高，投信賣超2.87億元，自營商賣超31.36億元，合計賣超173.6億元。<BR>期貨部分，三大法人則是以自營商較為看多，單日回補空單1475口，淨部位淨空單降到1476口。外資也減碼多單2154口，淨部位淨多單降回2萬口以下，為17820口；投信續加碼空單392口，淨部位淨空單為7554口；合計三大法人今天共減碼多單1071口，淨部位淨多單又降到萬口以下，為8790口。<BR>外資今天賣壓主要都集中在權值股，包括電子跟金融權值股，其中台積電更遭賣超逾2萬張，創下11月30日以來單日賣超最大量，另外聯電也同樣遭外資大賣超。而面板雙虎友達跟群創也難逃賣超。<BR>至於金融股的賣壓也同樣沉重，中信金、國泰金、新光金、開發金、玉山金、永豐金、元大金、台新金等，外資賣超張數也都超過1萬張，顯示外資面對歐美股市大跌，砍權值股換現金目的相當明顯。<BR>今天外資集中市場買超第1名為英業達，買超張數4963張，第2名臺鹽，買超4770張，第3名華通，買超2803張，第4名智易，買超2134張，第5名宏達電，買超1554張。6到10名依序為，中石化，買超1539張；長榮航，買超1148張；滬安，買超1136張；國喬，買超1031張；力成，買超1009張。<BR>外資集中市場賣超第1名台積電，賣超張數20539張，第2名中信金，賣超張數19335張，第3名鴻海，賣超19129張，第4名國泰金，賣超17328張，第5名群創，賣超16945張。6到10名依序為，友達，賣超15976張；新光金，賣超15292張；聯電，賣超13288張；開發金，賣超12925張；玉山金，賣超12758張。<BR>法人指出，陸股今天成為亞股中的重災區，尤其熔斷機制才第一天上路，就觸發了，應該與12月財星中國製造業PMI數據由11月的48.6降至48.2，並創下9月以來新低有，因此上海綜合指數盤中大跌超過6.8%，深圳更下挫超過8.1%，因此要先觀察資金是否進一步撤出新興亞洲市場，回流歐美的跡象。另外台股今天主要是因為歐美股市大跌，根據歷史經驗，外資在美股大跌後都會砍台股抽資金，因此今天大跌過後，要觀察明天能否止跌回穩，否則即有回測前波低點7980點的機率。
257,2016/1/5 08:31:00,聯電ADR4日下跌0.09美元跌幅4.79%折台股11.90元,(中央社台北2016年 1月 5日電)聯電在NYSE掛牌 ADR以1.79美元作收，下跌0.09美元，跌幅 4.79%。<BR>由於每單位聯電 ADR相當於台股 5股聯電普通股，以 1月 4日新台幣匯市收盤價33.236元計算，相當台股聯電每股為 11.90元。<BR>最近10個交易日行情如下：<BR> 聯電 ADR 近十個交易日行情 交易日收盤價漲跌漲跌幅%匯率折台股01/041.79-0.09-4.7933.23611.9012/311.880.021.0833.06612.4312/301.86-0.04-2.1133.05012.2912/291.90-0.01-0.5233.03512.5512/281.91-0.01-0.5233.02012.6112/241.92-0.03-1.5433.00212.6712/231.950.042.0933.10012.9112/221.91-0.02-1.0433.09012.6412/211.930.042.1233.08512.7712/181.890.010.5333.11712.52
307,2016/1/5 15:07:00,【Y晚報】沙伊交惡！油價只是死貓跳 專家唱衰剩1字頭,美股道瓊昨天連續第三天下挫，收盤大跌276點，不過尾盤拉高收斂跌幅，留下191點的下影線，因此預料今日美股將止跌反彈。因此今天亞股全數止跌，不過反彈的幅度並不大，昨天面臨熔斷機制的陸股，今天續跌，成為亞股今日最悲情的市場。台股今天收盤下跌39點，失守8100大關，不過成交量放大至800億，跌幅縮小但成交量增加，顯示承接力道略有增強，不過卻是集中在「特定族群」上面。<BR>哪些特定族群呢？我們來看看今天的強勢股吧！漲停板的有：迅杰(6243)、台星科(3265)，大漲超過半根停板的有：越峰(8121)、晶電(2448)等股，他們共同特徵都是去年沒什麼漲，甚至過去三個月都沒什麼表現的股票，近日表現相對抗跌，雖然沒有人在關注他們，但他們的確默默在「築底」。<BR>事實上，我個人觀察過去一年跌幅超過50%的有「四大族群」：LED、鋼鐵、藍寶石基板、工具機。我研判因為他們位階較低，所以成為市場上尋找超跌股的方向，事實上，以晶電(2448)為例，近日股價淨值比不只小於1，甚至只有0.5上下，考量它在LED產業的地位，股價確實有低估之嫌。其他如上銀(2049)，去年跌幅超過50%，今年一度因為陸企倒帳傳聞使得股價下跌，這些都是「指標股落難」的例子。<BR>由於下週六就要總統大選，不過在野黨民調仍保持領先，市場已經預先反應大選結果－政壇變天。因此操作積極的人提前賣股，導致近二週賣壓陸續出籠；如同昨日所提示，今天無法強彈，指數就有回測前低7980的機會，持股太高的朋友，可以先行汰弱留強。<BR>1. 熱門股：上證2x(00633L)、滬深2x(00637L)、T50反1(00632R)、友達(2409)、聯電(2303)<BR>2. 強勢股：茂矽(2342)、光洋科(1785)、台星科(3265)、越峰(8121)、台鹽(1737)<BR>3. 弱勢股：F-TPK(3673)、F-IET(4971)、大宇資(6111)、雙鴻(3324)、擎亞(8096)<BR>三大法人合計：- 47.9 億<BR>外資：- 42.2 億<BR>投信：- 0.7 億<BR>1. 熔斷機制首日 中港爆小股災 官媒權威訪談被指掃把星<BR>2. 人民幣摔破6.5元 TRF追繳令萬箭齊發 違約風險升高<BR>3. 聯發科(2454)推3新晶片 CES展發光<BR>4. 電動機車去年超夯 銷量破萬輛<BR>5. 和泰車(2207)穩坐市占王，本月續祭優惠<BR>以上內容由Yahoo!奇摩股市 與 CMoney理財寶 聯合提供
337,2016/1/5 19:25:00,台股反彈無力 三大法人續砍47億 恐下探前低7980點,歐美股市續跌，加上美元兌換人民幣中間匯價跌破6.5元，引發人民幣TRF違約風險增加，儘管台股一度在平盤上下震盪，但中場過後隨即跌落平盤之下，加上電子權值股也無力撐盤，終場指數下跌39.15點，以8075.11點作收，8100點整數關卡失守。三大法人也持續賣超，外資賣超42.21億元，投信賣超0.7億元，自營商賣超5億元，合計賣超47.92億元。<BR>期貨部分，三大法人呈現土洋對作，外資大舉加碼多單4997口，淨部位淨多單又回到2萬口以上，為22832口；自營商也大手筆加碼空單2216口，淨部位淨空單擴大到3695口；投信續加碼空單423口，淨部位淨空單為7996口；合計三大法人今天共加碼多單2358口，淨部位淨多單回升到萬口以上，為11141口。<BR>外資今天的操盤動作延續昨天，包括電子及金融權值股仍是外資砍單標的，尤其人民幣近期持續走貶，使得外資對於金融股賣超持續，包括新光金、元大金、永豐金、兆豐金、台新金、華南金、國泰金、合庫金、國票金及玉山金等，都難逃外資賣超摜壓。<BR>另外電子權值股也在外資賣超摜壓，包括晶圓雙雄台積電、聯電，面板雙虎友達、群創，蘋概股鴻海、鴻準、台郡、日月光、F-臻鼎、可成、和碩、欣興、正崴等，也都可以看到外資賣單湧現。<BR>相較之下，外資今天買超的標的則是以題材股為主，包括太陽能廠昱晶、太極、綠能，LED廠晶電，NB代工廠英業達、緯創，網通廠中磊等，顯示在台股盤勢仍不穩之際，權值股很難獲得外資青睞，因此外資先行將資金轉入中小型的電子題材股，等到美股回穩後才可能將資金拉回到權值股身上。<BR>今天外資集中市場買超第1名為昱晶，買超張數4758張，第2名英業達，買超4735張，第3名晶電，買超4320張，第4名興富發，買超3867張，第5名緯創，買超3401張。6到10名依序為，瑞昱，買超2799張；長榮航，買超2505張；全新，買超2430張；台肥，買超1978張；東陽，買超1947張。<BR>外資集中市場賣超第1名聯電，賣超張數16198張，第2名友達，賣超張數15589張，第3名華亞科，賣超12502張，第4名新光金，賣超12297張，第5名鴻海，賣超9954張。6到10名依序為，元大金，賣超8246張；永豐金，賣超7916張；中鋼，賣超7891張；兆豐金，賣超6536張；台灣50，賣超6128張。<BR>法人指出，台股台股經過昨天的大跌之後，如果今天能夠演出反彈紅K棒，則還有表現機會，不過今天卻是反彈無力，而且成交量還持續擴大，預料台股不排除會回測前波低點7980點，但是8000點附近也是國安基金重兵防守的防線，除非國際股市能先止跌，否則台股將在8000點附近進行一波較長時間盤整。
375,2016/1/6 08:06:00,聯電ADR5日下跌0.01美元跌幅0.56%折台股11.84元,(中央社台北2016年 1月 6日電)聯電在NYSE掛牌 ADR以1.78美元作收，下跌0.01美元，跌幅 0.56%。<BR>由於每單位聯電 ADR相當於台股 5股聯電普通股，以 1月 5日新台幣匯市收盤價33.270元計算，相當台股聯電每股為 11.84元。<BR>最近10個交易日行情如下：<BR> 聯電 ADR 近十個交易日行情 交易日收盤價漲跌漲跌幅%匯率折台股01/051.78-0.01-0.5633.27011.8401/041.79-0.09-4.7933.23611.9012/311.880.021.0833.06612.4312/301.86-0.04-2.1133.05012.2912/291.90-0.01-0.5233.03512.5512/281.91-0.01-0.5233.02012.6112/241.92-0.03-1.5433.00212.6712/231.950.042.0933.10012.9112/221.91-0.02-1.0433.09012.6412/211.930.042.1233.08512.77
597,2016/1/8 06:13:00,聯電ADR7日下跌0.06美元跌幅3.41%折台股11.40元,(中央社台北2016年 1月 8日電)聯電在NYSE掛牌 ADR以1.70美元作收，下跌0.06美元，跌幅 3.41%。<BR>由於每單位聯電 ADR相當於台股 5股聯電普通股，以 1月 7日新台幣匯市收盤價33.530元計算，相當台股聯電每股為 11.40元。<BR>最近10個交易日行情如下：<BR> 聯電 ADR 近十個交易日行情 交易日收盤價漲跌漲跌幅%匯率折台股01/071.70-0.06-3.4133.53011.4001/061.76-0.02-1.1233.45311.7801/051.78-0.01-0.5633.27011.8401/041.79-0.09-4.7933.23611.9012/311.880.021.0833.06612.4312/301.86-0.04-2.1133.05012.2912/291.90-0.01-0.5233.03512.5512/281.91-0.01-0.5233.02012.6112/241.92-0.03-1.5433.00212.6712/231.950.042.0933.10012.91
612,2016/1/8 07:44:00,《各報要聞》護盤！政府基金加碼挺台股,"國際利空連環爆，台股因內外利空夾擊，昨（7）日開盤後摜破10年線，午盤更一度暴跌220點，惟國安、政府基金力挺台股，逢低大舉進場護盤，八大官股券商昨天買超逾49億元，是去年7月9日以來最大買超，買超力道還超過去年8月下旬全球股災，拉抬大盤指數跌幅收歛，留了82點下影線。<BR> 本周開紅盤以來，國際政經情勢每日一爆，美股與陸股「接龍」重挫，周三道瓊指數跌破1.7萬點，以大跌1.47％作收，陸股熔斷機制上路4天，昨一早再度提前收市，台股深受美陸股大跌之害，引發市場全面恐慌，國安基金再度銜命進場護盤。<BR> 連４日外資丟、官股撿<BR> 台新投顧統計，台股開紅盤4個交易日，外資連4賣，合計賣超350億元，八大官股券商則連4買，昨天買超49.88億，合計買超近137億元，呈現「外資丟、官股撿」，顯示政策力挺台股。<BR> 買超前15檔，金融占10<BR> 據統計，八大官股券商昨天買超台股最多前15個股為新光金、台積電、聯電、國泰金、兆豐金、台塑、鴻海、彰銀、富邦金、日月光、華南金、元大金、開發金、永豐金及中信金等，其中金融股就占了10檔。<BR> 華南投顧董事長儲祥生表示，政策護盤意圖明顯，所幸有政策護盤基金進場點火拉抬大型權值股，讓指數拉升、留了82點下影線，否則台股若收在最低點，盤勢可能會更悲觀。<BR> 台新投顧協理黃文清分析，八大官股券商昨買超近50億，是去年7月8日當天買超55.9億之後的最大買超，比去年8月下旬全球股災及台股一度殺到7,203點時的買超護盤金額還大，可見政策護盤相當積極。<BR> 專家：投資人仍要謹慎<BR> 投資專家認為，近來受到美國第1季經濟預期不佳、人民幣重挫加速資金大舉外逃、北韓成功試爆，陸股大股東賣股禁令即將解除，造成投資人恐慌，引發陸股爆跌，加上昨國際油價大跌，驚見「2」字頭，台股後市仍有隱憂。<BR> 在國際局勢尚未穩定前，儲祥生建議投資人操作仍要謹慎，接下來要看政策護盤是否持續，買盤力道是否擴大。<BR> 台股昨一早就跌破10年線7,882點，近午盤更重挫220點，指數最低來到7,770點，國安、政府基金旋即進場護盤，指數跌幅收歛，最後以下跌138點，收在7,852點，成交量也放大至1,175億元，為去年12月1日來最大量。（新聞來源：工商時報─記者呂淑美╱台北報導）"
724,2016/1/9 06:31:00,聯電ADR8日下跌0.01美元跌幅0.59%折台股11.32元,(中央社台北2016年 1月 9日電)聯電在NYSE掛牌 ADR以1.69美元作收，下跌0.01美元，跌幅 0.59%。<BR>由於每單位聯電 ADR相當於台股 5股聯電普通股，以 1月 8日新台幣匯市收盤價33.501元計算，相當台股聯電每股為 11.32元。<BR>最近10個交易日行情如下：<BR> 聯電 ADR 近十個交易日行情 交易日收盤價漲跌漲跌幅%匯率折台股01/081.69-0.01-0.5933.50111.3201/071.70-0.06-3.4133.53011.4001/061.76-0.02-1.1233.45311.7801/051.78-0.01-0.5633.27011.8401/041.79-0.09-4.7933.23611.9012/311.880.021.0833.06612.4312/301.86-0.04-2.1133.05012.2912/291.90-0.01-0.5233.03512.5512/281.91-0.01-0.5233.02012.6112/241.92-0.03-1.5433.00212.67
737,2016/1/9 09:11:00,《各報要聞》台積去年營收年增10.6％續創高，可望賺逾1股本,"晶圓代工龍頭台積電 （2330） 昨（8）日公告去年第4季合併營收達2,035.18億元，較第3季衰退4.2％，但達到上次法說會提出的2,010?2,040億元展望上緣。台積電去年雖受客戶庫存調整及訂單流失壓力，但全年合併營收仍達8,434.97億元，年增10.6％並續創歷史新高，可望賺逾1個股本。<BR> 受到蘋果供應鏈減少拉貨、客戶持續去化庫存等因素影響，台積電去年12月合併營收月減8.0％達583.47億元，為21個月來單月營收新低，較前年同期衰退16.1％。但去年第4季合併營收達2,035.18億元，較第3季衰退4.2％，但順利達成業績展望目標。<BR> 台積電去年全年合併營收8,434.97億元，年增率達10.6％，符合先前提出的全年營收成長略高於1成的展望，也再度創下年度營收歷史新高。法人預估，台積電去年第4季營業利益仍將達700億元以上，全年賺逾1個股本沒有問題。<BR> 隨智慧型手機市場庫存在去年底完成去化，Android陣營手機廠開始回補零組件庫存，帶動高通、聯發科、展訊、海思、英特爾等手機晶片需求，台積電去年11月後已陸續接獲客戶急單，產能利用率逐步提升，今年第1季晶圓出貨將轉強，因此，法人看好台積電首季營收至少可與上季持平，不排除有機會出現5％左右的成長。<BR> 晶圓代工二哥聯電去年第4季受到客戶調整庫存影響，去年12月合併營收月減4.0％達106.73億元，第4季合併營收季減4.2％達338.49億元，符合市場預期。聯電去年全年營收1,448.30億元，年增3.4％並改寫歷史新高。<BR> 8吋晶圓代工廠世界先進受惠於LCD驅動IC及電源管理IC需求回升，去年第4季合併營收季增3.5％達54.82億元，優於原先預估的51?54億元；去年全年營收233.2億元，年減2.6％，較業界水準遜色。（新聞來源：工商時報─記者彭禎伶╱台北報導）"
