,post_time,title,content
23,2016/1/1 11:46:00,聯電ADR31日上漲0.02美元漲幅1.08%折台股12.43元,(中央社台北2016年 1月 1日電)聯電在NYSE掛牌 ADR以1.88美元作收，上漲0.02美元，漲幅 1.08%。<BR>由於每單位聯電 ADR相當於台股 5股聯電普通股，以12月31日新台幣匯市收盤價33.066元計算，相當台股聯電每股為 12.43元。<BR>最近10個交易日行情如下：<BR> 聯電 ADR 近十個交易日行情 交易日收盤價漲跌漲跌幅%匯率折台股12/311.880.021.0833.06612.4312/301.86-0.04-2.1133.05012.2912/291.90-0.01-0.5233.03512.5512/281.91-0.01-0.5233.02012.6112/241.92-0.03-1.5433.00212.6712/231.950.042.0933.10012.9112/221.91-0.02-1.0433.09012.6412/211.930.042.1233.08512.7712/181.890.010.5333.11712.5212/171.880.010.5333.03512.42
204,2016/1/4 19:30:00,台股紅盤日慘綠 外資大砍139億 台積電首當其衝,歐美股市大跌，2016年第一個交易日亞股也全面跟跌，台股指數開低走低，權值股則是重災區，台灣50成分股僅剩華亞科一檔逆勢抗跌，終場指數重挫223.8點，以8114.26點作收。三大法人也全面賣超，外資大舉賣超139.36億元，為2015年11月30日以來新高，投信賣超2.87億元，自營商賣超31.36億元，合計賣超173.6億元。<BR>期貨部分，三大法人則是以自營商較為看多，單日回補空單1475口，淨部位淨空單降到1476口。外資也減碼多單2154口，淨部位淨多單降回2萬口以下，為17820口；投信續加碼空單392口，淨部位淨空單為7554口；合計三大法人今天共減碼多單1071口，淨部位淨多單又降到萬口以下，為8790口。<BR>外資今天賣壓主要都集中在權值股，包括電子跟金融權值股，其中台積電更遭賣超逾2萬張，創下11月30日以來單日賣超最大量，另外聯電也同樣遭外資大賣超。而面板雙虎友達跟群創也難逃賣超。<BR>至於金融股的賣壓也同樣沉重，中信金、國泰金、新光金、開發金、玉山金、永豐金、元大金、台新金等，外資賣超張數也都超過1萬張，顯示外資面對歐美股市大跌，砍權值股換現金目的相當明顯。<BR>今天外資集中市場買超第1名為英業達，買超張數4963張，第2名臺鹽，買超4770張，第3名華通，買超2803張，第4名智易，買超2134張，第5名宏達電，買超1554張。6到10名依序為，中石化，買超1539張；長榮航，買超1148張；滬安，買超1136張；國喬，買超1031張；力成，買超1009張。<BR>外資集中市場賣超第1名台積電，賣超張數20539張，第2名中信金，賣超張數19335張，第3名鴻海，賣超19129張，第4名國泰金，賣超17328張，第5名群創，賣超16945張。6到10名依序為，友達，賣超15976張；新光金，賣超15292張；聯電，賣超13288張；開發金，賣超12925張；玉山金，賣超12758張。<BR>法人指出，陸股今天成為亞股中的重災區，尤其熔斷機制才第一天上路，就觸發了，應該與12月財星中國製造業PMI數據由11月的48.6降至48.2，並創下9月以來新低有，因此上海綜合指數盤中大跌超過6.8%，深圳更下挫超過8.1%，因此要先觀察資金是否進一步撤出新興亞洲市場，回流歐美的跡象。另外台股今天主要是因為歐美股市大跌，根據歷史經驗，外資在美股大跌後都會砍台股抽資金，因此今天大跌過後，要觀察明天能否止跌回穩，否則即有回測前波低點7980點的機率。
337,2016/1/5 19:25:00,台股反彈無力 三大法人續砍47億 恐下探前低7980點,歐美股市續跌，加上美元兌換人民幣中間匯價跌破6.5元，引發人民幣TRF違約風險增加，儘管台股一度在平盤上下震盪，但中場過後隨即跌落平盤之下，加上電子權值股也無力撐盤，終場指數下跌39.15點，以8075.11點作收，8100點整數關卡失守。三大法人也持續賣超，外資賣超42.21億元，投信賣超0.7億元，自營商賣超5億元，合計賣超47.92億元。<BR>期貨部分，三大法人呈現土洋對作，外資大舉加碼多單4997口，淨部位淨多單又回到2萬口以上，為22832口；自營商也大手筆加碼空單2216口，淨部位淨空單擴大到3695口；投信續加碼空單423口，淨部位淨空單為7996口；合計三大法人今天共加碼多單2358口，淨部位淨多單回升到萬口以上，為11141口。<BR>外資今天的操盤動作延續昨天，包括電子及金融權值股仍是外資砍單標的，尤其人民幣近期持續走貶，使得外資對於金融股賣超持續，包括新光金、元大金、永豐金、兆豐金、台新金、華南金、國泰金、合庫金、國票金及玉山金等，都難逃外資賣超摜壓。<BR>另外電子權值股也在外資賣超摜壓，包括晶圓雙雄台積電、聯電，面板雙虎友達、群創，蘋概股鴻海、鴻準、台郡、日月光、F-臻鼎、可成、和碩、欣興、正崴等，也都可以看到外資賣單湧現。<BR>相較之下，外資今天買超的標的則是以題材股為主，包括太陽能廠昱晶、太極、綠能，LED廠晶電，NB代工廠英業達、緯創，網通廠中磊等，顯示在台股盤勢仍不穩之際，權值股很難獲得外資青睞，因此外資先行將資金轉入中小型的電子題材股，等到美股回穩後才可能將資金拉回到權值股身上。<BR>今天外資集中市場買超第1名為昱晶，買超張數4758張，第2名英業達，買超4735張，第3名晶電，買超4320張，第4名興富發，買超3867張，第5名緯創，買超3401張。6到10名依序為，瑞昱，買超2799張；長榮航，買超2505張；全新，買超2430張；台肥，買超1978張；東陽，買超1947張。<BR>外資集中市場賣超第1名聯電，賣超張數16198張，第2名友達，賣超張數15589張，第3名華亞科，賣超12502張，第4名新光金，賣超12297張，第5名鴻海，賣超9954張。6到10名依序為，元大金，賣超8246張；永豐金，賣超7916張；中鋼，賣超7891張；兆豐金，賣超6536張；台灣50，賣超6128張。<BR>法人指出，台股台股經過昨天的大跌之後，如果今天能夠演出反彈紅K棒，則還有表現機會，不過今天卻是反彈無力，而且成交量還持續擴大，預料台股不排除會回測前波低點7980點，但是8000點附近也是國安基金重兵防守的防線，除非國際股市能先止跌，否則台股將在8000點附近進行一波較長時間盤整。
612,2016/1/8 07:44:00,《各報要聞》護盤！政府基金加碼挺台股,"國際利空連環爆，台股因內外利空夾擊，昨（7）日開盤後摜破10年線，午盤更一度暴跌220點，惟國安、政府基金力挺台股，逢低大舉進場護盤，八大官股券商昨天買超逾49億元，是去年7月9日以來最大買超，買超力道還超過去年8月下旬全球股災，拉抬大盤指數跌幅收歛，留了82點下影線。<BR> 本周開紅盤以來，國際政經情勢每日一爆，美股與陸股「接龍」重挫，周三道瓊指數跌破1.7萬點，以大跌1.47％作收，陸股熔斷機制上路4天，昨一早再度提前收市，台股深受美陸股大跌之害，引發市場全面恐慌，國安基金再度銜命進場護盤。<BR> 連４日外資丟、官股撿<BR> 台新投顧統計，台股開紅盤4個交易日，外資連4賣，合計賣超350億元，八大官股券商則連4買，昨天買超49.88億，合計買超近137億元，呈現「外資丟、官股撿」，顯示政策力挺台股。<BR> 買超前15檔，金融占10<BR> 據統計，八大官股券商昨天買超台股最多前15個股為新光金、台積電、聯電、國泰金、兆豐金、台塑、鴻海、彰銀、富邦金、日月光、華南金、元大金、開發金、永豐金及中信金等，其中金融股就占了10檔。<BR> 華南投顧董事長儲祥生表示，政策護盤意圖明顯，所幸有政策護盤基金進場點火拉抬大型權值股，讓指數拉升、留了82點下影線，否則台股若收在最低點，盤勢可能會更悲觀。<BR> 台新投顧協理黃文清分析，八大官股券商昨買超近50億，是去年7月8日當天買超55.9億之後的最大買超，比去年8月下旬全球股災及台股一度殺到7,203點時的買超護盤金額還大，可見政策護盤相當積極。<BR> 專家：投資人仍要謹慎<BR> 投資專家認為，近來受到美國第1季經濟預期不佳、人民幣重挫加速資金大舉外逃、北韓成功試爆，陸股大股東賣股禁令即將解除，造成投資人恐慌，引發陸股爆跌，加上昨國際油價大跌，驚見「2」字頭，台股後市仍有隱憂。<BR> 在國際局勢尚未穩定前，儲祥生建議投資人操作仍要謹慎，接下來要看政策護盤是否持續，買盤力道是否擴大。<BR> 台股昨一早就跌破10年線7,882點，近午盤更重挫220點，指數最低來到7,770點，國安、政府基金旋即進場護盤，指數跌幅收歛，最後以下跌138點，收在7,852點，成交量也放大至1,175億元，為去年12月1日來最大量。（新聞來源：工商時報─記者呂淑美╱台北報導）"
679,2016/1/8 15:48:00,《業績-半導體》聯電上月營收下滑，Q4季減4%符合預期,聯電 (2303) 公布去年12月營收比11月下滑，受到客戶調節庫存影響，單月合併營收106.73億元，月減約4%，為去年單月次低，第四季合併營收338.49億元，季減約4.16%，表現符合預期。<BR> 在10月營收拉升至120.59億元後，聯電11月營收回落至111.17億元，12月持續下滑。<BR> 聯電先前於法說會表示，因市場庫存持續調整，第四季晶圓出貨量將較第三季減少5%以內，產品平均售價將下滑約1%。市場推估，聯電第四季業績將比第三季減少3~5%，公司表現亦符合預期，去年全年營收也順利再創新高。<BR> 聯電去年隨著28奈米製程出貨成長帶動，全年合併營收為1448.3億元，年增3.44%，創下歷史新高紀錄。<BR> 聯電去年第四季可望維持獲利，全年EPS預估約0.9元。展望第一季隨著庫存去化，法人估聯電營收回穩，本季營收可望與去年第四季持平。
737,2016/1/9 09:11:00,《各報要聞》台積去年營收年增10.6％續創高，可望賺逾1股本,"晶圓代工龍頭台積電 （2330） 昨（8）日公告去年第4季合併營收達2,035.18億元，較第3季衰退4.2％，但達到上次法說會提出的2,010?2,040億元展望上緣。台積電去年雖受客戶庫存調整及訂單流失壓力，但全年合併營收仍達8,434.97億元，年增10.6％並續創歷史新高，可望賺逾1個股本。<BR> 受到蘋果供應鏈減少拉貨、客戶持續去化庫存等因素影響，台積電去年12月合併營收月減8.0％達583.47億元，為21個月來單月營收新低，較前年同期衰退16.1％。但去年第4季合併營收達2,035.18億元，較第3季衰退4.2％，但順利達成業績展望目標。<BR> 台積電去年全年合併營收8,434.97億元，年增率達10.6％，符合先前提出的全年營收成長略高於1成的展望，也再度創下年度營收歷史新高。法人預估，台積電去年第4季營業利益仍將達700億元以上，全年賺逾1個股本沒有問題。<BR> 隨智慧型手機市場庫存在去年底完成去化，Android陣營手機廠開始回補零組件庫存，帶動高通、聯發科、展訊、海思、英特爾等手機晶片需求，台積電去年11月後已陸續接獲客戶急單，產能利用率逐步提升，今年第1季晶圓出貨將轉強，因此，法人看好台積電首季營收至少可與上季持平，不排除有機會出現5％左右的成長。<BR> 晶圓代工二哥聯電去年第4季受到客戶調整庫存影響，去年12月合併營收月減4.0％達106.73億元，第4季合併營收季減4.2％達338.49億元，符合市場預期。聯電去年全年營收1,448.30億元，年增3.4％並改寫歷史新高。<BR> 8吋晶圓代工廠世界先進受惠於LCD驅動IC及電源管理IC需求回升，去年第4季合併營收季增3.5％達54.82億元，優於原先預估的51?54億元；去年全年營收233.2億元，年減2.6％，較業界水準遜色。（新聞來源：工商時報─記者彭禎伶╱台北報導）"
761,2016/1/9 14:00:00,《熱門族群》中華電、遠傳去年營收寫新頁,"4G助陣，中華電、遠傳2015年營收創歷史新高！電信三雄昨（8）日公布去年12月及全年業績，中華電 （2412） 全年營收2,317.9億元，相較2014年同期成長2.3％，並創歷史新高。累計每股稅後盈餘（EPS）5.52元，較2014年成長10.9％，也刷新四年來新高紀錄，營運績效亮麗。 <BR> 遠傳 （4904） 不遑多讓，2015年全年營收繳出972.93億元佳績，寫下遠傳年度營收新高紀錄。 <BR> 台灣大 （3045） 則以每股稅後盈餘（EPS）5.76元，蟬聯電信每股獲利王寶座，領先中華電的5.52元及遠傳的3.52元。<BR> 中華電信董事長蔡力行表示，全年合併自結營收及每股稅後盈餘均超越財測目標，且4G客戶數突破442萬，去年一整年淨增近310萬、年成長232.6％，居市場領導地位，光纖寬頻上網、加值服務與資通訊業務持續成長。 <BR> 展望2016年，中華電信董事長蔡力行強調，營收及獲利都要雙成長。中華電信去年12月合併自結營收211.0億元，年增0.3％，稅前淨利37.8億元，歸屬於母公司業主之淨利30.0億元，每股盈餘0.39元，相較2014年同期大幅成長30.7％。2015年全年稅前淨利519.9億元，歸屬於母公司業主淨利為428.2億元。 <BR> 中華電信強調，去年業績亮麗，主要歸功於4G與行動上網用戶持續增加，帶動行動加值營收全年成長10.2％，惟行動語音業務因接續費調降及VoIP（免費通信軟體）衝擊相關營收減少，行動通信營收與2014年同期相較僅成長1.8％。 <BR> 截至12月底，中華電信光世代寬頻用戶數達335.8萬戶，其中，100Mbps以上客戶數亦已達105.4萬戶。行動上網客戶數持續成長達596.9萬戶，而4G客戶亦達442.7萬戶，行動加值占行動服務營收比重達49％。 <BR> 台灣大2015年自結全年合併營收1,161.4億元，EBITDA為322.9億元，稅後淨利156.9億元。 <BR> 台灣大強調，2015年獲利亮麗表現來自於4G經營績效優於預期，電信設備使用效益提升及成功收回高鐵特別股股息。 <BR> 遠傳2015年12月營收84.62億元，單月每股稅後盈餘0.22元，合併EBITDA與稅後淨利分別為20.73億元與7.03億元，年增率各為12.1％與3.5％。累計2015年全年EPS達3.52元，與2014年相當，但超越財測目標3.6％，主要亦有賴於4G助陣。截至2015年底為止，遠傳4G用戶總數311萬戶，超出年度目標300萬。 （新聞來源：工商時報─記者林淑惠╱台北報導）"
865,2016/1/11 11:46:00,盤中分析：國際股市慘兮兮，台股盤中再失守十年線,2016年首週A股歷經一場驚動四方的震撼教育，儘管中國證監會終於出手救市，宣布暫停股市熔斷機制並令國家隊進場護盤，使得A股得以止跌收紅，不過歐美股市上週五晚間卻是大演開高走低的收黑戲碼，嚴重影響投資人信心。今早就在悲觀氣氛下台股跳空開低，加權指數最低來到7726.22點，重挫逾160點，再次跌破十年線7890點關卡，全日成交量預估約880億元。<BR> 權值股方面，僅中華電(2412)、仁寶(2324)等目前仍站在多方；其餘台積電(2330)、鴻海(2317)、國泰金(2882)、富邦金(2881)、台塑四寶、聯發科(2454)、台達電(2308)、南亞科(2408)、長榮航(2618)、華航(2610)、日月光(2311)、聯電(2303)、廣達(2382)、友達(2409)及群創(3481)等俱表現疲軟。雙千金方面，股王大立光(3008)開低後一度拉高翻紅，目前在平盤附近，股后漢微科(3658)則是開低走低，直逼跌停價。<BR> 美國上週五雖公布了強勁的就業報告，但美股仍開高走低震盪收黑，道瓊工業指數終場下跌167.65點收16346.45點，那斯達克指數下跌45.80點收4643.63點，而象徵美股投資人持股信心的VIX恐慌指數更來到27.01，單日VIX指數漲幅逾8%，累計上週VIX漲幅達48.3%，顯示這陣子的國際股災已引發投資人憂慮。<BR> 2016年在國際上包括中東局勢急劇惡化可能造成油價震盪幅度加劇、美國總統大選、英國脫歐公投、全球經濟成長較預期緩慢等，仍會持續干擾市場；而對台股來說，除了國際上不確定性因素持續升溫外，還有陸股何時止穩以及總統大選進入倒數計時階段，在政治風險變數升溫下，使投資人短期觀望心態愈趨濃厚，分析人士建議，在雙千金短期底部區還未浮上檯面下，百元以上高價族群逢高暫宜低調，逢高減碼，持盈保泰為主。
998,2016/1/12 15:16:00,《集中市場》生醫股腿軟，三大法人賣超44.66億元,美股昨夜小幅彈升，台股在國家隊力挺下跳空開高，面板雙虎及玻陶股強勢領軍，推升指數一度上攻至7851.81點，惟受制日陸等亞股走勢震盪，且周末總統大選將屆，市場觀望氣氛濃厚，生醫股、股王大立光 (3008) 、股后漢微科 (3658) 帶頭下殺，大盤由紅翻黑，全日震盪逾百點，所幸金融股穩住陣腳，終場加權指數下跌19.97點為7768.45點，成交值860.87億元，7800點得而復失。今日外資賣超31.5671億元，投信買超7.6997億元，自營商賣超20.8004億元，三大法人賣超44.66億元。<BR> 電子股方面，面板雙虎友達 (2409) 、群創 (3481) 上季營收同步衰退，財報赤字壓力浮現，近期股價持續重挫，今日獲買盤力挺，雙雙帶量強攻；股王大立光 (3008) 、股后漢微科 (3658) 今日聯袂開高震盪走低，齊挫近半根停板；權值股台積電 (2330) 收在平盤，聯發科 (2454) 、宏達電 (2498) 齊步走跌。傳產股方面，玻陶股凱撒衛 (1817) 挾上月營收創新高、今年業績持續看俏，股價強勢大漲，帶動台玻 (1802) 同步走揚，成盤面上焦點族群。國際原油價格再度走軟，逼近每桶30美元大關，有利航運股營運，航空雙雄華航 (2610) 、長榮航 (2618) 攜手高飛。新藥股王浩鼎 (4174) 市值摔破千億元，中裕 (4147) 同步觸及跌停，空方壓力傾巢而出，拖累上櫃生醫股重摔6%，盤面上最弱勢。金融股開高震盪，富邦金 (2881) 尾盤獲買單拉抬，壽險股中壽 (2823) 、新光金 (2888) 同步止跌，帶動類股收紅。<BR> 焦點股方面，近期台股跌跌不休，上市櫃新兵邑錡 (7402) 、銘鈺 (4545) 及同泰 (3321) 同步跌破承銷價，銘鈺更殺至上市來新低。業績股為今日多頭指標，F-永冠 (1589) 去年營收及出貨量同創新高，今日一度觸頂；碩天 (3617) 上月及去年業績表現亮眼，外資擴大買超，今日突破短均糾結爆量攻頂；和碩 (4938) 去年營收年增19.0%，股價勁揚3%；微星 (2377) 估去年EPS約4.22元，可望創歷史新高，股價大漲4.5%；泰碩 (3338) 去年每股估賺近2元，今年業績會更好，今日收高3%。南亞科 (2408) 現金增資引進記憶體模組龍頭金士頓入股，未來將投資美光私募股，形成泛美光聯盟，股價震盪壓回6%。聯發科 (2454) 遭歐系外資調降目標價至230元，今年每股盈餘預估下修至15.5元，股價下挫1%。茂迪 (6244) 在大股東台積電處分部分持股後，聯電 (2303) 也宣布請辭董事職務，今日一度重挫跌停。<BR> 外資今日賣超31.5671億元，5日RSI為14.76，10日RSI為23.06，9日K值為13.51，9日D值為21.61，20日乖離率為-4.78。台股今日受到股王大立光與股后漢微科帶頭下殺，使盤勢開高震盪走低，7800點得而復失，所幸尾盤台塑 (1301) 、富邦金 (2881) 、中華電 (2412) 與鴻海 (2317) 等集團股力撐指數，終場僅小挫19.97點。分析師表示，周末總統大選將屆，市場觀望氣氛濃厚，台股震盪偏弱的可能性較大；短期均線偏空，量價結構不利多方，短線指數將於7675-7950點區間震盪。操作上，去年12月營收相對佳或Q4衰退幅度小，優於市場預期的個股，配合法人買超籌碼穩定標的，為現階段選股的主要參考依據。(編輯整理：龍彩霖)
1134,2016/1/13 21:25:00,外資中止連7賣 續回補大立光持股 台股可望築底,國際股市回穩，台股由蘋概股領軍，指數順利收復7800點整數關卡，最高來到7865.98點，直逼10年線7880點，不過受到金融中場走跌，拖累大盤數漲幅收斂，終場上漲56.16點，以7824.61點作收。三大法人則是土洋對作，外資中止連7賣，轉為買超11.49億元，投信賣超0.24億元，自營商賣超12.7億元，合計賣超1.46億元。<BR>期貨部分，三大法人則是同步站在多方，外資續加碼多單2604口，淨部位淨多單達23366口；自營商則是回補空單1286口，淨部位淨空單降到1944口；投信也回補空單318口，淨部位淨空單為7214口；合計三大法人今天共加碼多單4208口，淨部位淨多單繼續回升到14208口。<BR>整體來說，台股今天只演了1個小時的好戲，10點過後，受到金融股開始走跌拖累，指數漲幅逐漸收斂，不過外資對於金融股的賣壓卻也在今天逐漸減緩，儘管包括玉山金、富邦金、國泰金、第一金、元大金、台新金、兆豐金、合庫金、華南金、國票金等，則維持賣超，不過賣超張數已明顯縮小，甚至外資對於開發金、永豐金、新光金還轉為買超。<BR>至於外資買超對象除了部分金融股外，電子權值股也陸續重回外資買超標的，包括中華電、台積電、英業達等，另外傳產股的台塑、東陽、台塑化、中鋼等，也都見到外資轉為買超，不過因為外資對於電子權值股買超的力道仍不強，使得指數無法出現較大的漲幅。<BR>另外外資仍持續賣超台灣50，從2016年開年以來，外資天天賣超台灣50，不過今天的賣超張數也縮小到5000張以內，是今年單日賣超最低量，接下來就看外資何時會轉為買超，台股反彈的跡象將更為明確。<BR>值得注意的是，外資今天再度回補大立光持股，買超張數還擴大到316張，顯示1800-1900元應是外資預期大立光的股價低檔區，接下來就看明天大立光法說會，公司對於未來景氣的看法，勢必將影響外資操盤動作。<BR>外資集中市場買超第1名為群創，買超張數14170張，第2名中華電，買超7325張，第3名上証2X，買超7190張，第4名台積電，買超6601張，第5名台塑，買超5956張。6到10名依序為，康舒，買超4785張；萬海，買超4549張；東陽，買超4354張；台塑化，買超3926張；昱晶，買超3704張。<BR>外資集中市場賣超第1名玉山金，賣超張數13809張，第2名富邦金，賣超張數9541張，第3名聯電，賣超7965張，第4名國泰金，賣超7878張，第5名鴻準，賣超5782張。6到10名依序為，南亞，賣超5223張；華亞科，賣超5042張；第一金，賣超4973張；友達，賣超4931張；京元電，賣超4910張。<BR>法人指出，外資今天終於中止賣超台股，開始轉為買超，雖然金額不多，但是中總算是讓台股稍稍看到止跌回穩的跡象，尤其外資從2016年開年以來，已經連續7個交易日都賣超，累計賣超金額達530億元，讓指數從8338點起跌，最低跌到7726點，跌點達612點，目前就盤勢來看，外資同步在期現貨站多方，對台股來說可望開始築底，只要外資買超金額持續擴大，等到大選過後，指數有機會演出較大幅度的反彈。
