gram,TF,DF,TF_IDF,all_TF,all_DF,all_TF_IDF,expected_TF,expected_DF,DF_chisquare,MI,Lift,TF*DF_chisquare
聯電,3366,1362,0.129864278,15124,6817,8.736191939,66.42082927,29.93856077,59267.63452,0.000137316,45.49316884,199494857.8
台股,5117,1164,0.456350745,172267,53883,4.918951579,756.5536231,236.6406733,3634.182191,1.4847E-05,4.918850101,18596110.27
聯電日上漲美,274,274,2.492755666,274,274,10.5967795,1.203339541,1.203339541,61842.90918,0.000687285,227.6996564,16944957.12
股聯電,591,316,2.501225962,1483,799,10.91870688,6.512965473,3.50900837,27828.55142,0.000271817,90.05393168,16446673.89
股聯,610,334,2.419266856,2049,1344,10.31245859,8.998696058,5.902512202,18237.65167,0.000170799,56.58607532,11124967.52
買超,2719,595,1.7220852,39365,16475,7.292666401,172.8812447,72.35408372,3775.305273,2.48215E-05,8.223447377,10265055.04
電聯電,382,378,2.096836706,1420,1335,9.943668026,6.236285213,5.86298645,23620.37812,0.000194602,64.47226225,9022984.441
上漲,2285,924,0.859533226,106652,38310,5.647683829,468.388937,168.2479483,3394.758567,1.65767E-05,5.491894609,7757023.326
聯電日,297,295,2.406762524,774,761,10.26176796,3.399214616,3.342121864,25452.18916,0.000266425,88.26727809,7559300.18
電日上漲美元,274,274,2.492755666,612,612,10.35098635,2.687751092,2.687751092,27387.33383,0.000307706,101.9439638,7504129.47
外資,3277,815,1.136569734,107063,40976,5.473078411,470.1939463,179.9563542,2240.990234,1.36699E-05,4.528875926,7343724.995
電聯,449,429,1.937172281,2746,2455,9.455203901,12.05974591,10.78174662,16222.46503,0.0001201,39.78947152,7283886.798
聯電每股,283,283,2.454484417,721,694,10.33489122,3.166451858,3.047874604,25714.04755,0.000280262,92.85158898,7277075.458
月日電聯電在,275,275,2.488461414,657,657,10.31758122,2.885379849,2.885379849,25662.6061,0.000287676,95.30807534,7057216.677
日電聯電在掛,274,274,2.492755666,655,655,10.31905568,2.876596348,2.876596348,25553.77644,0.000287506,95.2514593,7001734.746
電聯電在掛牌,274,274,2.492755666,655,655,10.31905568,2.876596348,2.876596348,25553.77644,0.000287506,95.2514593,7001734.746
聯電在掛牌以,274,274,2.492755666,655,655,10.31905568,2.876596348,2.876596348,25553.77644,0.000287506,95.2514593,7001734.746
由於每單位聯,274,274,2.492755666,655,655,10.31905568,2.876596348,2.876596348,25553.77644,0.000287506,95.2514593,7001734.746
於每單位聯電,274,274,2.492755666,655,655,10.31905568,2.876596348,2.876596348,25553.77644,0.000287506,95.2514593,7001734.746
每單位聯電相,274,274,2.492755666,655,655,10.31905568,2.876596348,2.876596348,25553.77644,0.000287506,95.2514593,7001734.746
單位聯電相當,274,274,2.492755666,655,655,10.31905568,2.876596348,2.876596348,25553.77644,0.000287506,95.2514593,7001734.746
位聯電相當於,274,274,2.492755666,655,655,10.31905568,2.876596348,2.876596348,25553.77644,0.000287506,95.2514593,7001734.746
聯電相當於台,274,274,2.492755666,655,655,10.31905568,2.876596348,2.876596348,25553.77644,0.000287506,95.2514593,7001734.746
當於台股股聯,274,274,2.492755666,655,655,10.31905568,2.876596348,2.876596348,25553.77644,0.000287506,95.2514593,7001734.746
於台股股聯電,274,274,2.492755666,655,655,10.31905568,2.876596348,2.876596348,25553.77644,0.000287506,95.2514593,7001734.746
台股股聯電普,274,274,2.492755666,655,655,10.31905568,2.876596348,2.876596348,25553.77644,0.000287506,95.2514593,7001734.746
股股聯電普通,274,274,2.492755666,655,655,10.31905568,2.876596348,2.876596348,25553.77644,0.000287506,95.2514593,7001734.746
股聯電普通股,274,274,2.492755666,655,655,10.31905568,2.876596348,2.876596348,25553.77644,0.000287506,95.2514593,7001734.746
聯電普通股以,274,274,2.492755666,655,655,10.31905568,2.876596348,2.876596348,25553.77644,0.000287506,95.2514593,7001734.746
