gram,TF,DF,TF_IDF
台北,304,268,1.817164599
股市,430,239,2.076453838
陸股,86,60,3.438429464
跳水,18,16,3.93715939
台股,2400,596,0.764922615
暴跌,31,23,3.956655745
跌百,41,36,3.641110794
百點,159,107,2.946866609
破年,41,32,3.774761279
年線,322,143,2.78713765
北韓,34,14,4.566154257
成功,40,34,3.690758735
國際,333,217,2.160730592
原油,103,43,3.966126787
油價,128,84,3.186749629
價格,153,94,3.110646879
跌跌,16,14,3.975680688
跌不,27,25,3.773325077
蘋果,387,181,2.483410406
手機,222,100,3.17862608
首季,75,50,3.596436271
大減,24,18,4.033518345
減產,39,19,4.329990517
引爆,19,16,3.978151694
歐美,61,51,3.460236222
主要,240,184,2.315647111
要股,27,25,3.773325077
市在,11,11,3.895967357
周三,44,37,3.652395067
三大,466,251,2.018360541
大跌,436,225,2.175303554
亞股,182,144,2.580396096
股周,50,42,3.580530295
周四,58,50,3.456793355
進一,54,49,3.441946209
一步,59,52,3.418883254
步下,27,26,3.731910833
下修,74,59,3.382897915
包括,244,171,2.428357417
大陸,216,109,3.042526347
滬深,138,116,2.780110845
提前,19,16,3.978151694
日本,103,65,3.425488509
香港,42,34,3.720813611
南韓,25,15,4.253433483
等股,61,36,3.881566591
也不,40,39,3.535713195
不振,37,34,3.64273421
加上,406,279,1.819684056
美元,468,187,2.488559175
人民,103,52,3.717462604
幣兌,19,14,4.110301052
元匯,15,14,3.925123887
價也,41,30,3.847994276
重挫,457,227,2.173447995
股匯,20,15,4.081535816
窘境,17,17,3.835098074
早盤,297,183,2.387265208
盤開,47,41,3.572845605
開低,277,176,2.424762387
低殺,13,12,3.954546342
殺低,37,30,3.782335652
跌逾,222,129,2.808553874
逾百,72,60,3.348012073
摜破,98,70,3.304645739
線台,32,29,3.726359754
股集,19,14,4.110301052
集中,244,190,2.273358959
交易,350,211,2.21715213
加權,421,329,1.568160923
股價,907,355,1.581655184
指數,2331,587,0.791571627
上午,34,34,3.590646625
暫報,42,13,4.816113485
報點,28,19,4.08950477
點大,119,94,3.004040035
跌點,893,442,1.202858198
點跌,201,127,2.794748245
跌幅,701,315,1.736599926
幅成,73,72,3.128309669
成交,824,446,1.176903906
億元,2071,526,0.987938922
元不,90,89,2.955683286
跌破,425,241,2.060419338
破點,146,115,2.813678841
點關,107,88,3.0457274
關卡,271,199,2.234947554
線點,98,67,3.361548542
點指,38,28,3.876691562
數跌,83,71,3.206955692
大關,188,148,2.552585809
空方,73,52,3.532980663
持續,629,340,1.589350822
主導,22,21,3.812663975
行情,295,187,2.352664579
開盤,285,220,2.098662865
盤後,209,180,2.306190872
後大,19,19,3.808080068
大盤,308,188,2.357282984
一路,66,57,3.36654349
下滑,104,75,3.242757035
滑落,19,14,4.110301052
隨即,35,33,3.641486812
點年,12,11,3.96808626
支撐,248,161,2.522253527
法人,724,348,1.575925313
人對,27,23,3.861370041
對台,56,49,3.461841957
股短,75,68,3.212503729
短線,305,199,2.268365005
線盤,19,18,3.861587699
盤勢,215,159,2.49426547
勢仍,30,28,3.722418841
仍持,18,15,4.000371799
保守,145,103,2.962329788
看法,33,27,3.824398525
加速,42,38,3.594098395
探底,17,17,3.835098074
過大,16,15,3.909638148
逾點,71,57,3.40441059
人士,25,20,3.953837888
指出,277,204,2.204039192
於外,14,13,3.940150184
外資,1341,530,0.931155504
短期,141,111,2.848641029
偏空,48,37,3.704606614
操作,212,164,2.444969474
未變,12,12,3.889516992
股雖,15,14,3.925123887
雖有,16,15,3.909638148
國家,63,45,3.629807446
逢低,32,29,3.726359754
護盤,38,31,3.762655679
投資,443,214,2.258815585
股今,442,256,1.974498275
今天,476,229,2.169943377
仍是,44,39,3.591958118
是由,12,11,3.96808626
大型,118,96,2.972372908
權值,601,349,1.538199459
股領,45,40,3.576046822
領跌,78,60,3.388743752
積電,1151,545,0.866963241
鴻海,793,463,1.10855055
海大,41,40,3.521556362
立光,782,439,1.196823083
光聯,73,71,3.145701915
發科,988,678,0.473969963
科國,31,31,3.633690918
國泰,459,337,1.546192362
金及,14,13,3.940150184
富邦,479,331,1.582727221
金等,98,88,3.007363836
等跌,48,36,3.736511302
幅都,13,11,4.034429219
續擴,21,17,3.992890695
擴大,137,106,2.900123502
大至,44,38,3.621778935
造成,67,58,3.352995631
成大,19,18,3.861587699
至點,155,103,2.989469944
過後,58,50,3.456793355
挫點,75,57,3.432831338
點以,142,109,2.876309302
低點,290,201,2.239069239
點來,18,15,4.000371799
來到,325,150,2.717447741
到點,156,109,2.913570391
一度,433,265,1.915090276
度跌,84,68,3.267498411
破元,43,37,3.638600109
顯示,186,146,2.568283659
市場,1159,505,1.002147403
持股,62,55,3.377439675
股信,11,11,3.895967357
信心,107,91,3.001623449
弱金,11,11,3.895967357
金融,761,435,1.208618341
保險,77,75,3.102447687
類股,533,253,2.03761487
股方,126,92,3.057244009
方面,271,180,2.384558317
受制,46,42,3.532490198
海外,21,16,4.054032265
可能,235,172,2.408119823
兆豐,178,146,2.553285679
豐金,215,162,2.467213101
金中,157,130,2.671562304
信金,262,219,2.083227625
等也,87,48,3.729181318
震盪,516,284,1.843550975
表現,842,379,1.45722695
不佳,70,58,3.375565746
台塑,484,266,1.934529324
在國,33,33,3.604909593
價跌,49,45,3.488283612
底部,18,17,3.877780458
立場,18,15,4.000371799
場下,91,74,3.197676198
也可,23,18,4.002196269
買氣,19,19,3.808080068
觀望,144,107,2.907253491
集團,95,65,3.385565576
股包,43,38,3.608099613
南亞,350,272,1.826289451
台化,164,153,2.459954383
化及,12,12,3.889516992
及台,53,47,3.481024801
塑化,270,214,2.125606085
化等,33,31,3.673292903
走低,238,167,2.455315863
目前,281,191,2.306647691
盤面,246,177,2.3801124
面上,135,111,2.831558202
主流,38,36,3.59512245
股力,35,34,3.608503028
力撐,41,38,3.579759766
人氣,52,44,3.548254743
今年,419,231,2.123579927
年開,20,18,3.899337394
紅盤,76,58,3.417940452
盤以,35,27,3.863202789
以下,76,68,3.218931202
帶量,41,34,3.705969453
量下,20,20,3.794048035
下殺,69,59,3.347076015
