gram,TF,DF,TF_IDF
台股,2869,711,0.505203966
股開,93,86,3.059625022
開紅,52,29,4.081619883
紅盤,111,72,3.373819546
盤重,26,25,3.784895216
概念,231,154,2.615817061
設計,172,121,2.85508314
鈺創,19,15,4.076941862
迅杰,19,14,4.145220665
大漲,757,356,1.604982526
撐盤,77,63,3.365247401
盤台,32,30,3.727864698
股今,480,286,1.873146844
今日,1232,355,1.697494421
年第,124,77,3.336907925
第一,226,178,2.397455328
交易,315,204,2.293392815
日開,84,73,3.22220147
開盤,334,284,1.803747185
盤不,19,18,3.896507313
指數,2722,655,0.660622713
面臨,76,58,3.462086031
賣壓,213,141,2.715899804
摜破,14,13,3.973037443
破點,86,72,3.251040465
點與,19,16,4.013071307
與月,23,21,3.880277283
月線,262,153,2.668019265
支撐,185,139,2.686225798
盤面,286,210,2.222382549
面多,34,33,3.662259567
多頭,269,177,2.459915859
聚焦,62,52,3.488251112
相關,231,160,2.559983586
在即,18,17,3.912340247
即將,87,75,3.204488804
將開,12,11,3.999947627
題材,306,193,2.36905102
帶動,632,338,1.658195853
動下,131,111,2.867511536
個股,830,384,1.492661141
股走,133,106,2.936095149
走勢,353,243,2.056273997
勢穩,11,11,3.927249653
穩健,69,51,3.570226111
義隆,44,36,3.724358362
等股,51,30,4.029082236
股價,1207,455,1.253860899
相對,305,213,2.218879132
對抗,17,16,3.928002819
抗跌,33,27,3.862992226
漲幅,879,367,1.579708096
維持,346,223,2.183244855
力撐,24,19,4.014102726
導體,447,301,1.776368151
體股,26,20,4.018930315
表現,981,419,1.369093284
將在,81,69,3.275979693
台廠,16,16,3.881635407
機器,23,18,4.03838738
智慧,251,125,2.951908434
汽車,176,130,2.762769754
商機,59,45,3.635327879
積極,116,90,3.098041971
布局,185,135,2.727656906
包含,40,31,3.835020116
電聯,157,136,2.65791083
發科,1427,867,0.11292806
瑞昱,77,48,3.70613997
等都,29,25,3.859222053
新產,27,24,3.853688369
產品,241,111,3.111045516
創今,36,31,3.767580896
今年,641,326,1.720639304
年展,14,13,3.973037443
態度,42,38,3.634297059
相當,65,52,3.513886745
出新,20,20,3.829309012
經濟,299,164,2.607997171
日股,94,82,3.125910498
延續,132,97,3.053263048
續上,54,46,3.558789501
上周,190,87,3.362960021
強勢,467,278,1.912289829
勢漲,19,18,3.896507313
幅逾,43,34,3.775663726
電也,24,21,3.910645193
搶攻,16,16,3.881635407
機市,38,24,4.088932388
市場,1226,554,0.906385369
機與,14,13,3.973037443
與美,17,16,3.928002819
推出,80,62,3.404773001
也將,64,55,3.437118706
新品,41,36,3.681149086
品股,27,26,3.769169044
同樣,54,51,3.436344531
有撐,38,31,3.802188275
科也,35,34,3.647488319
家庭,13,12,3.986940403
過今,21,19,3.916302318
價不,11,11,3.927249653
影響,277,207,2.234965807
盤中,762,422,1.319434764
中紅,12,11,3.999947627
翻黑,127,95,3.064938188
持續,837,394,1.450253095
續強,74,57,3.469838944
強攻,99,80,3.181699231
電視,46,24,4.220445759
股創,20,19,3.880567664
創意,52,50,3.439089522
原相,34,31,3.730994905
亞等,11,11,3.927249653
持平,159,148,2.544918584
平盤,279,175,2.488290116
盤上,112,92,3.053529232
上小,17,14,4.057350895
小漲,216,127,2.872291726
格局,282,186,2.400299513
整體,235,171,2.468314735
另一,45,42,3.560484929
