gram,TF,DF,TF_IDF
晨間,71,71,4.849770876
解析,131,130,4.483377992
析台,84,84,4.760440253
台股,8938,2132,1.106078072
封關,109,56,5.479497087
關收,14,14,5.163698449
收點,425,294,3.932571318
點周,62,56,5.037455932
周月,16,16,5.175408956
月年,17,13,5.438365287
年線,1341,575,3.271043003
線下,180,150,4.479548201
下跌,5210,1941,1.245980059
期待,112,100,4.732939313
元月,163,112,4.827800134
行情,1083,698,2.857831898
反攻,75,66,4.981438682
股年,19,19,5.180581644
關日,35,25,5.480536528
尾盤,748,527,3.216774473
盤出,44,43,5.072026707
出現,1483,943,2.409541633
演出,54,52,5.017161296
特定,244,234,4.007165237
定買,18,16,5.295518217
買盤,710,507,3.262683551
盤急,46,45,5.056494111
急拉,53,46,5.147310868
國泰,904,685,2.834558155
金台,180,165,4.344803731
台塑,890,486,3.418375048
南亞,481,392,3.530791504
亞台,111,111,4.58887039
台化,251,233,4.028019837
化等,81,74,4.894833755
打破,22,20,5.273147964
原本,88,78,4.888096629
的盤,18,18,5.180155339
盤勢,783,562,3.124529748
終場,2268,1439,1.716648412
場加,555,510,3.16247165
加權,1917,1421,1.71128124
指數,11002,3131,0.284834432
數以,99,94,4.730268195
以點,585,464,3.336431916
作收,1127,700,2.865047729
收上,33,32,5.155477017
上漲,2449,1266,1.973937318
漲點,952,626,3.006285951
點成,781,744,2.649371005
成交,3727,1854,1.298593418
量億,161,147,4.441017723
億元,7743,2607,0.66508872
元但,85,82,4.799464722
周線,236,168,4.475422688
線收,119,98,4.800791216
收黑,603,445,3.416731413
黑下,62,59,4.97416921
跌點,4091,1869,1.293950393
點月,66,60,5.001955777
月線,1007,593,3.118866923
十字,36,30,5.304481282
線小,20,19,5.231225418
小漲,310,252,4.017791996
點年,33,30,5.226067748
點跌,924,561,3.185301003
跌幅,3100,1442,1.766075632
月台,89,78,4.89624323
台指,1890,542,3.498924296
場收,577,390,3.614929005
收在,1428,835,2.619534793
在點,1812,919,2.507483848
點上,290,243,4.03914717
價差,1080,290,4.395558016
差擴,264,152,4.68875303
擴至,249,141,4.764739397
至點,1116,517,3.394738704
電子,2735,1414,1.782467429
期逆,445,183,4.705400266
差為,17,17,5.178505566
為點,696,543,3.14087774
金融,2559,1497,1.661664141
擴大,537,452,3.345946965
大至,144,134,4.500908294
籌碼,695,551,3.115963937
三大,2081,1086,2.229746325
法人,2831,1257,2.016043434
現貨,713,466,3.405342888
市場,4891,1970,1.208528647
合計,891,583,3.10662931
賣超,6015,1690,1.549880471
超億,3245,1061,2.375000956
元投,801,785,2.565903255
投信,1973,1040,2.298528667
結帳,33,25,5.42548682
元較,213,186,4.269207323
較多,108,50,5.621575286
而在,269,267,3.860769515
在台,589,500,3.216705102
部位,852,391,3.773240018
方面,1784,1036,2.282240515
人多,46,46,5.031077241
多單,1664,558,3.400337986
單加,245,172,4.462355326
加碼,493,356,3.695547649
碼口,152,96,4.995208404
口淨,328,140,4.943506031
單增,307,169,4.617998639
增至,85,72,4.964922275
至口,676,272,4.280396052
外資,5981,1869,1.340229158
升至,459,335,3.761181582
對台,218,190,4.251283101
趨向,21,20,5.227667084
向中,22,21,5.223513669
中性,378,249,4.135516096
性偏,122,110,4.662837413
偏多,466,325,3.816214451
多預,88,80,4.85572091
預期,1562,1031,2.260069792
回顧,21,20,5.227667084
走勢,1705,1080,2.195239115
勢指,74,72,4.862914059
從年,20,20,5.179966765
年初,97,87,4.816653536
初的,16,16,5.175408956
的點,119,83,5.022685727
點反,37,36,5.125819473
反彈,1824,921,2.505149001
月上,43,40,5.135583053
上攻,338,276,3.921587225
攻萬,18,15,5.358730627
萬點,487,235,4.355390151
點行,34,28,5.328822123
創下,510,387,3.575841594
下點,48,47,5.040957359
點新,50,46,5.099497371
新高,1142,663,2.964806008
高但,110,107,4.631425363
但下,24,22,5.259692399
下半,318,227,4.189447399
半年,1125,629,3.052667769
全球,915,601,3.063394134
股災,60,53,5.078197865
美國,2691,1254,2.010666073
升息,739,407,3.646533683
息人,27,22,5.372727129
人民,585,361,3.74709251
幣大,28,27,5.189975761
大貶,28,25,5.271768973
及月,132,119,4.607946744
月日,1722,1110,2.147068814
日漲,77,67,4.982390507
漲跌,506,392,3.551892417
幅上,53,50,5.04865892
上路,23,18,5.424673529
路等,14,13,5.232770901
等指,31,30,5.169725206
一路,233,204,4.184112044
走跌,645,458,3.395520996
跌月,23,19,5.369217572
季線,934,529,3.290328362
線半,30,28,5.214397977
線年,19,16,5.350653271
線等,55,51,5.054903607
等紛,16,16,5.175408956
告失,55,53,5.009123948
失守,1124,721,2.812228609
守月,119,100,4.7738066
月下,94,80,4.902959431
下旬,62,56,5.037455932
一度,1712,1114,2.139173143
度跌,319,270,3.927110176
跌破,1598,938,2.437984155
十年,42,33,5.334816561
線點,294,211,4.258779815
點關,405,339,3.686752803
關卡,978,721,2.770277084
下挫,766,547,3.162515807
挫至,26,25,5.202435397
點之,305,264,3.939270695
之後,314,259,3.982588744
後國,14,14,5.163698449
國安,95,60,5.282571271
基金,608,287,4.140723576
宣布,337,272,3.942523043
進場,309,273,3.894858897
護盤,151,108,4.828095346
展開,185,166,4.352112065
開跌,24,23,5.213742052
跌深,533,333,3.837549289
深反,324,217,4.267845414
月來,149,130,4.56379703
來到,965,551,3.231570151
到點,540,415,3.486553084
點台,258,236,4.023218505
股行,49,44,5.134854365
回穩,283,216,4.203335569
大盤,3502,2410,0.773280358
在至,20,16,5.402959612
點間,44,40,5.155053496
震盪,2456,1283,1.949062439
人與,21,21,5.178460885
集團,752,466,3.425783583
年底,241,185,4.345924402
量能,747,559,3.117130404
能持,55,55,4.965040227
持續,2548,1376,1.822240633
續偏,57,57,4.95039587
偏低,45,43,5.090753032
線留,15,14,5.235791562
了點,17,17,5.178505566
點的,281,218,4.185780544
的下,70,64,4.967545061
下影,211,179,4.319334297
影線,228,203,4.179572146
展望,439,341,3.713226532
望年,13,13,5.154296983
紅盤,279,230,4.101831593
盤開,431,362,3.610754195
開市,83,69,5.00135063
市後,31,27,5.283723665
月外,28,25,5.271768973
資重,33,22,5.565307984
重新,171,155,4.402854591
歸隊,32,29,5.235220691
月起,27,27,5.156479001
實施,91,76,4.945646344
揚升,49,44,5.134854365
方案,56,41,5.32982894
當沖,32,23,5.487414545
標的,185,147,4.524588522
的量,19,17,5.290656107
能可,22,20,5.273147964
可望,776,521,3.249371154
望回,30,30,5.140175439
回溫,98,92,4.75124409
迎接,21,21,5.178460885
新的,61,59,4.961589721
的投,76,64,5.029904464
投資,2152,1147,2.134435749
布局,327,273,3.922300985
觀察,1337,883,2.501346003
人的,47,47,5.023767042
的選,15,15,5.170588853
選股,236,201,4.212717447
股方,493,366,3.651118685
方向,142,129,4.544312488
之外,111,102,4.700703198
外還,15,15,5.170588853
以留,23,23,5.173255011
留意,761,561,3.117599875
總統,465,326,3.810350632
統大,87,67,5.073923395
大選,186,116,4.864130749
選前,74,53,5.244684353
前的,128,123,4.543599272
的政,51,47,5.090457961
政策,561,397,3.574226822
包括,870,603,3.040773194
生技,518,355,3.721583793
太陽,229,126,4.877845418
光通,69,61,5.015824785
通訊,200,151,4.532988887
電信,175,105,4.965065437
信股,29,24,5.348254819
股以,195,183,4.243257159
及傳,43,40,5.135583053
傳產,755,526,3.223332423
產的,36,35,5.133345037
的車,12,12,5.141815414
車用,124,97,4.842472017
相關,745,542,3.168128766
紡織,311,251,4.025432954
營建,238,192,4.284471341
建股,134,114,4.675886279
股等,134,126,4.539964499
受惠,625,455,3.394161816
族群,2022,945,2.483357257
像是,55,47,5.152110624
汽車,655,415,3.564877858
車零,116,102,4.730239639
零件,39,37,5.140619361
件股,121,97,4.825821828
股的,498,368,3.646701233
的同,63,56,5.049991629
同致,60,52,5.101180193
下元,19,19,5.180581644
元新,52,51,5.009970086
高價,197,150,4.533482292
價今,52,51,5.009970086
今年,1446,831,2.631640569
年來,329,258,4.011578697
來漲,17,16,5.237230919
漲幅,1334,798,2.682087413
幅逾,187,165,4.366918468
和大,110,99,4.734068057
華等,16,15,5.237187625
等也,145,102,4.87982811
也創,29,28,5.183405178
掛牌,163,120,4.731552639
能的,30,30,5.140175439
的國,76,70,4.91778877
國碩,30,30,5.140175439
綠能,97,80,4.925459437
昱晶,50,49,5.025442362
晶等,40,40,5.074332737
散熱,56,44,5.245545257
模組,78,61,5.109901698
組的,13,12,5.227782106
的超,17,16,5.237230919
超眾,60,44,5.30273692
雙鴻,45,43,5.090753032
智邦,116,104,4.704396552
新日,78,73,4.884338491
日興,23,22,5.218848534
訊等,23,22,5.218848534
技股,764,489,3.350614395
浩鼎,127,94,4.901072083
生華,24,23,5.213742052
大江,60,47,5.223156273
台苯,48,43,5.144532105
豐泰,31,28,5.244374433
下今,114,107,4.655047252
來新,370,289,3.893919652
歷史,356,271,3.974825625
表現,3675,1639,1.541241769
現可,27,27,5.156479001
證交,149,71,5.397345476
交所,171,90,5.16613002
去年,712,400,3.660323483
年台,45,38,5.233190372
股跌,1246,697,2.903511622
玻璃,82,75,4.886815708
陶瓷,21,18,5.333926012
最慘,41,33,5.31353335
據台,32,32,5.128120568
台灣,987,624,3.0236851
證券,707,477,3.363095159
交易,1718,1179,2.035638137
統計,789,740,2.661507255
計年,53,44,5.199903436
