gram,TF,DF,TF_IDF
報要,79,79,5.065881409
要聞,92,92,4.985462926
年台,198,133,5.017727606
台股,12312,2867,0.95945355
股漲,1529,919,2.856267192
股昨,368,286,4.241744438
昨日,1736,838,3.063792244
封關,260,112,5.452671732
四大,450,388,3.861743544
大基,39,33,5.512229122
基金,1482,496,3.964105925
金在,32,32,5.362933126
尾盤,898,637,3.327764613
盤大,183,164,4.668794012
大舉,160,144,4.766291189
加碼,1022,715,3.17391033
買進,1744,645,3.547432501
進台,37,35,5.397962545
積電,3361,1666,1.920301207
電國,83,79,5.103383898
國泰,973,755,3.062736355
金等,255,227,4.394053317
等權,238,214,4.441885304
權值,1780,1176,2.446142015
股總,15,15,5.3745581
總計,32,28,5.508211651
投入,66,61,5.245996755
約億,230,178,4.69126858
億元,9412,3033,0.815887083
政府,485,326,4.174823726
金表,37,35,5.397962545
表示,2676,1735,1.800276933
示美,156,140,4.78900114
美國,3292,1588,2.010553215
升息,1047,601,3.485449759
息不,25,24,5.433017553
確定,343,291,4.178789367
定因,116,105,4.978898368
因素,537,433,3.765130706
消除,62,55,5.321043619
加上,1956,1383,2.167532191
上證,368,290,4.220235369
所稅,20,16,5.618639609
措施,133,110,5.012284278
發酵,163,152,4.702866501
表現,5110,2231,1.400348903
看好,1092,720,3.184464752
好台,82,75,5.159933122
股投,70,70,5.123495896
投資,3049,1532,2.06564734
專家,110,98,5.032553544
好上,23,22,5.440217856
上半,594,381,4.019038408
半年,1583,874,2.958122094
景氣,550,376,4.004901449
落底,68,53,5.443055078
氣對,22,21,5.443073483
對策,24,23,5.43684386
訊號,220,202,4.480724518
機會,1221,878,2.870585746
會轉,17,16,5.446295215
轉為,517,358,4.055244
為黃,42,39,5.39038031
藍燈,24,20,5.581317542
股全,209,194,4.509129003
全年,318,227,4.517736674
呈現,1339,927,2.801397072
開低,648,463,3.736610031
走高,1614,1084,2.57054091
高由,39,36,5.41431652
於外,63,58,5.269717382
外資,7625,2463,1.242280379
還在,35,33,5.412248666
長假,151,108,5.12606701
亞洲,424,341,4.037834572
包括,1206,838,2.949464224
日韓,113,104,4.973098219
韓股,267,156,4.977996761
股市,3156,1714,1.853205584
休市,132,105,5.070071285
市台,169,164,4.619329977
日成,218,205,4.454033159
成交,4677,2317,1.312201248
量僅,46,40,5.442286338
僅億,73,66,5.229485081
元不,213,212,4.39205455
盤點,65,59,5.274384872
點火,200,160,4.759402906
火大,13,12,5.42592611
大買,156,123,4.968527942
買股,22,20,5.492707777
讓大,17,16,5.446295215
大盤,4237,2903,0.847058192
甩尾,34,28,5.566102543
終場,2508,1683,1.846965978
場上,308,283,4.165772042
上漲,6920,2569,1.142987041
漲點,4678,2224,1.39531355
指出,1731,1244,2.3356954
出國,63,61,5.208406669
國內,410,336,4.044778865
年經,75,64,5.289345949
經濟,1627,907,2.89872327
現不,277,240,4.357153643
不佳,153,139,4.786267894
出口,322,194,4.764059558
連續,987,757,3.062911876
續下,106,99,4.992595956
下滑,362,292,4.201163736
主計,15,14,5.439760809
計總,12,12,5.336701098
再下,17,17,5.387569862
下修,172,131,4.945964609
修全,16,14,5.509826598
成長,2272,1035,2.748775706
長率,174,130,4.964423981
燈號,37,29,5.607707699
始終,28,25,5.501145833
擺脫,116,107,4.953786733
象徵,11,11,5.316849281
衰退,132,110,5.007025125
退的,19,19,5.394173631
上國,65,63,5.194249084
國際,1969,1272,2.325016984
又有,40,37,5.4063301
有美,42,42,5.305951862
息大,15,14,5.439760809
大陸,993,601,3.465510092
疑慮,331,298,4.124171939
然有,43,40,5.38242315
有國,26,25,5.428795525
國安,134,59,5.863513074
安基,134,61,5.818239403
金護,27,19,5.755426256
護盤,236,106,5.466166185
盤但,33,33,5.357884881
但台,125,117,4.886079824
疲軟,132,112,4.982605581
無力,120,107,4.977587312
力不,55,54,5.243737485
認為,1093,806,2.986875564
為年,120,104,5.01561655
年國,18,18,5.391546398
將可,77,68,5.234374873
逐月,16,13,5.580765502
去年,1311,758,3.155088643
窘境,38,37,5.360046178
先前,248,215,4.458526794
祭出,47,42,5.404756101
出多,26,24,5.471610025
多道,15,13,5.509797617
振興,17,15,5.508811852
萬元,3714,566,4.081311377
提供,449,389,3.856639464
企業,925,605,3.427372712
五大,310,144,5.193577821
工具,88,81,5.115827394
等重,42,40,5.361536676
重要,369,312,4.108353583
都將,59,56,5.258315821
將上,34,34,5.352645999
上路,30,24,5.612418664
逐漸,371,314,4.101152181
可為,34,34,5.352645999
為產,58,58,5.202112524
產業,1331,780,3.108882426
業帶,13,13,5.352440986
帶來,199,181,4.579582311
正面,225,183,4.637617752
效益,68,58,5.332156338
影響,1541,1069,2.583604407
響台,106,101,4.966317607
現此,31,31,5.367767277
外國,51,43,5.448835574
市之,15,15,5.3745581
之前,218,185,4.602868669
擔憂,230,202,4.506604274
的美,160,144,4.766291189
美股,2986,1724,1.831994424
資近,87,82,5.0915396
近來,127,111,4.967918117
來對,11,11,5.316849281
對台,275,238,4.365669898
股已,71,69,5.152406842
已轉,39,38,5.353475483
淨匯,28,15,6.044044782
匯入,79,60,5.412077843
入亞,15,14,5.439760809
各國,62,55,5.321043619
則在,91,85,5.079177829
在亞,60,58,5.229828839
成立,61,55,5.307586898
等利,81,73,5.184637517
利多,1153,790,3.039410751
帶動,2568,1637,1.90434797
動下,547,469,3.643567382
朝向,33,29,5.499213663
穩健,271,221,4.468081629
發展,551,450,3.71384404
台灣,1592,929,2.848486954
也會,72,67,5.199883605
會跟,18,18,5.391546398
跟進,174,158,4.689904952
受益,42,33,5.580698796
關前,90,62,5.47575226
前大,212,186,4.578369779
碼台,89,76,5.205967365
股主,104,102,4.939828219
主要,1095,871,2.851402714
是看,24,22,5.482794208
好年,11,11,5.316849281
年的,288,220,4.509285569
的表,224,187,4.603480884
先進,204,165,4.727572805
進場,410,293,4.259637108
便宜,35,32,5.446247494
電大,457,377,3.914543615
立光,2369,1363,2.237228773
光及,89,76,5.205967365
及台,187,166,4.665008734
台塑,1167,630,3.44307126
寶國,11,11,5.316849281
金中,245,219,4.424451802
中鋼,449,323,4.151547687
鋼台,34,32,5.419297152
台泥,252,198,4.589333165
泥等,48,48,5.267759685
年後,131,100,5.130758207
後還,12,11,5.415270365
還會,43,39,5.411379148
伺機,61,58,5.243342418
機進,12,12,5.336701098
投顧,795,535,3.578818885
總經,158,143,4.767845445
經理,744,487,3.710454771
蔡明,82,50,5.673030272
出預,26,26,5.387660465
預估,987,698,3.203673437
此波,71,61,5.305004067
量縮,491,371,3.973594527
持續,3867,1986,1.596103587
續到,42,42,5.305951862
農曆,218,154,4.868780093
年前,161,141,4.799637568
前月,169,139,4.851186005
月日,2222,1491,2.053556773
選舉,263,148,5.046663034
結束,218,194,4.533996307
到月,111,101,4.999177539
總統,508,374,3.976546197
就職,50,41,5.487355315
窗期,36,32,5.472438569
長達,51,46,5.369532533
達個,23,23,5.394624334
個月,969,677,3.250147864
月將,48,47,5.292275291
將是,210,194,4.51194438
是台,143,133,4.802615925
股最,108,95,5.060326173
危險,16,15,5.443784059
險的,29,29,5.376683647
的區,41,37,5.428611199
區間,596,444,3.769697799
間加,12,12,5.336701098
上今,92,92,4.985462926
今年,2554,1379,2.231591931
年第,391,289,4.256784893
第季,1228,562,3.664645359
較低,74,70,5.166956194
低預,12,12,5.336701098
預期,2427,1519,2.036231274
期全,17,16,5.446295215
年低,34,33,5.385466565
低點,748,603,3.353233584
會出,57,55,5.251458945
出現,1534,1039,2.634130386
現在,165,140,4.825534927
在月,419,351,3.986631061
但在,158,142,4.77759397
在新,112,105,4.954137629
執政,51,34,5.724979407
團隊,52,45,5.41218193
運作,19,15,5.628115813
一段,93,85,5.095384207
段時,47,42,5.404756101
時間,408,342,4.014646707
間後,11,11,5.316849281
後全,28,28,5.380701554
年高,165,136,4.866040242
高點,2095,1280,2.327836119
點可,112,95,5.086674006
可望,1679,1069,2.606584059
落在,100,85,5.149483048
在第,85,76,5.170716416
季第,12,11,5.415270365
第一,760,586,3.407415104
一金,211,172,4.688517539
金投,67,62,5.238190649
董事,429,317,4.158633307
事長,310,255,4.327099747
長陳,30,30,5.372360811
陳奕,53,29,5.94849798
光表,41,37,5.428611199
示雖,26,25,5.428795525
油價,605,398,3.955830342
價與,26,26,5.387660465
與人,15,15,5.3745581
人民,494,329,4.169173793
導致,307,267,4.252223557
高收,190,172,4.624304334
收益,138,102,5.140965171
違約,11,11,5.316849281
目標,662,379,4.077902638
契約,29,25,5.53540487
損失,103,97,4.998723395
風險,810,634,3.29807353
險但,13,13,5.352440986
但年,15,15,5.3745581
年上,177,144,4.831525175
將落,19,18,5.447681263
應會,23,19,5.590586895
著國,31,28,5.477894588
復甦,150,129,4.876327754
股下,315,207,4.652553386
下半,675,455,3.78297639
年表,37,34,5.430293964
現較,296,243,4.374893247
較佳,147,131,4.84169424
年將,141,128,4.845713858
將呈,76,69,5.205815064
高的,327,297,4.123115685
的走,145,125,4.896969348
走勢,2010,1353,2.214491298
集中,1453,752,3.20367684
市場,5738,2505,1.175916117
場日,95,77,5.239074058
日均,764,468,3.788607686
均量,121,95,5.142670709
