gram,TF,DF,TF_IDF
盤後,940,811,2.451143702
解析,181,181,4.131625018
陸股,336,228,4.11882244
熔斷,32,14,5.961814302
斷台,12,11,5.165847762
台股,10505,2450,0.68685295
股重,431,343,3.600521153
重挫,1885,957,2.33021315
險守,36,35,5.066293228
守點,367,301,3.733577216
點年,41,39,5.055440824
紅盤,235,199,4.136631524
盤日,151,149,4.300408982
日亞,39,36,5.103487399
亞股,747,530,3.10514612
光光,60,57,4.917540202
光台,201,182,4.181449671
勉強,26,24,5.181905152
強守,33,30,5.160007133
守住,317,266,3.854910288
點大,378,310,3.70123598
大陸,604,330,3.809158028
經濟,1035,559,3.125789786
數據,335,245,4.007218966
不佳,234,194,4.171593304
人民,368,166,4.656438316
幣續,19,18,5.174317574
續貶,29,27,5.157708256
烏地,38,32,5.213230208
拉伯,40,32,5.258246377
宣布,360,292,3.771702373
伊朗,41,31,5.315942986
中東,25,19,5.388645369
情勢,166,131,4.536102008
勢再,44,42,5.029702829
再現,29,26,5.198067984
現變,11,11,5.071959866
一連,25,24,5.145356033
連串,18,18,5.120999547
的利,112,106,4.575795231
利空,593,402,3.477719924
年第,269,188,4.293341583
第一,760,546,3.061025478
交易,1307,920,2.314019949
股及,278,212,4.131529452
及台,250,217,4.041821123
股就,35,35,5.042045963
烏雲,16,15,5.179373564
罩頂,22,19,5.263886955
今天,2155,907,2.462888993
股一,211,199,4.079221233
一開,59,51,5.038465109
開盤,1050,761,2.591924654
盤就,75,71,4.814844951
跳空,482,361,3.566825319
空下,67,64,4.860202527
下跌,4781,1794,1.2734323
跌台,483,410,3.364060735
股亦,115,106,4.593022367
空開,133,116,4.565488406
開低,1074,701,2.742023438
低在,55,55,4.89316052
在台,593,496,3.133407466
台塑,1289,750,2.675322841
南亞,794,628,2.839036948
亞台,122,118,4.487781183
台泥,412,329,3.646547244
亞泥,266,230,3.987327704
泥國,30,15,5.820888355
國泰,1366,1005,2.1660882
富邦,1284,888,2.372853969
金等,310,280,3.766457638
等傳,85,81,4.738236456
傳產,907,660,2.795683096
產與,26,24,5.181905152
與金,69,63,4.901587476
金融,2608,1496,1.550211175
龍頭,435,369,3.48903822
頭股,135,120,4.528873284
股以,237,214,4.03463843
積電,5396,2805,0.36918904
鴻海,2817,1692,1.324038448
海華,43,38,5.125171365
華碩,105,84,4.838954474
及大,144,131,4.449122219
立光,2809,1645,1.378096553
光等,230,215,4.012265476
等電,79,79,4.71827646
電子,3125,1494,1.580392611
權值,2050,1283,1.801126023
股帶,88,82,4.746910901
帶頭,114,107,4.574864645
頭下,29,27,5.157708256
下殺,289,239,3.971565226
殺下,11,11,5.071959866
下台,222,203,4.077381529
股指,687,511,3.136828934
指數,9163,2250,0.862247449
低中,30,29,5.111671847
中場,103,89,4.749922676
場過,60,53,5.005326964
過後,294,254,3.88842532
後陸,15,11,5.406626374
股急,24,21,5.245347791
急殺,86,73,4.878980703
讓台,73,62,4.96374098
及亞,39,35,5.135187666
股跌,869,621,2.886749013
跌勢,439,335,3.645766539
擴大,524,433,3.308209219
大大,16,16,5.117594894
大跌,1814,928,2.378037389
跌逾,844,511,3.209904472
逾點,262,211,4.107666305
獲法,21,20,5.166755278
法人,2814,1330,1.789071884
人力,18,17,5.176983493
力挺,143,119,4.576513209
的個,270,211,4.123363072
個股,2055,1069,2.143353775
股如,167,134,4.508085794
兆赫,26,23,5.226542084
同致,56,53,4.95134296
力新,232,206,4.079254545
新等,41,41,4.998693119
盤中,2618,1313,1.801147089
逆勢,686,515,3.123320691
勢走,172,156,4.312398841
走高,554,409,3.42242157
高一,40,39,5.034691359
一度,1751,1089,2.074642151
跌幅,2901,1292,1.850568686
幅縮,55,51,4.9830239
縮小,137,121,4.526808383
尾盤,766,523,3.13631917
啟動,145,128,4.485163576
斷機,23,16,5.48353375
機制,60,31,5.652397773
制台,11,11,5.071959866
盤再,62,59,4.900924782
現一,44,44,4.976296134
一波,136,118,4.556382833
殺盤,138,115,4.600718824
幾乎,165,142,4.419738637
以最,33,30,5.160007133
最低,724,561,2.998972402
低點,1070,729,2.672383273
作收,1521,838,2.520599901
收日,41,40,5.026712261
日線,1015,575,3.070088808
線及,267,208,4.138841856
及月,131,122,4.487597293
月線,1049,611,2.975012518
線均,30,29,5.111671847
告失,52,51,4.938729325
失守,1034,695,2.745797709
點終,194,186,4.130920335
終場,2460,1462,1.585145
場加,452,419,3.303285007
加權,1384,1071,2.054673828
股價,3715,1494,1.606800919
數為,88,62,5.104436356
為點,524,468,3.182652195
跌點,3450,1714,1.324773283
點成,834,789,2.465920704
成交,2890,1697,1.321627969
量為,146,124,4.533029308
為億,665,426,3.427319178
億元,7257,2059,1.031914407
元指,166,136,4.483718537
點下,488,365,3.554377027
元今,302,278,3.765042289
今日,3737,1209,2.028028492
日上,151,140,4.38642648
上市,807,559,3.041655499
市各,22,22,5.114747058
各類,112,106,4.575795231
類股,2667,1122,2.106603206
股全,246,222,3.999941514
全面,527,433,3.310414491
收黑,719,503,3.179423107
黑以,13,13,5.098848254
食品,444,386,3.42622039
品類,50,43,5.107754542
表現,3424,1515,1.566856937
最佳,68,56,5.035530432
跌其,105,103,4.571404177
次是,40,40,5.006080709
是觀,24,23,5.151309117
觀光,311,279,3.77339369
及通,12,11,5.165847762
通信,190,180,4.16624281
網路,264,228,3.996489823
路類,32,27,5.247256023
股分,51,39,5.238841616
跌及,52,45,5.086364917
現較,236,187,4.230001777
較差,39,39,5.013416536
者為,33,30,5.160007133
塑膠,289,270,3.788255784
膠類,42,34,5.231998372
玻璃,95,87,4.723956278
及水,16,14,5.245416103
水泥,516,442,3.269095996
股塑,23,21,5.204615317
股下,381,308,3.714853807
跌上,51,50,4.94668018
上櫃,129,99,4.760185659
部分,935,651,2.828688468
分表,36,36,5.035018257
航運,336,281,3.79873143
股上,477,384,3.463766906
上漲,2487,1215,1.940141678
漲表,37,35,5.0898761
最差,32,32,5.062410491
