gram,TF,DF,TF_IDF
張第名,718,47,7.35495096
張第,732,51,7.233863984
第名,886,58,7.168589391
買進千股賣出,102,17,7.067176759
進千股賣出千,102,17,7.067176759
千股賣出千股,102,17,7.067176759
下跌點跌幅約,79,14,7.0508324
跌點跌幅約為,79,14,7.0508324
民黨,78,14,7.037370126
國民黨,65,12,7.033012924
進千,104,18,7.01209262
出千,103,18,7.002340144
漲點漲幅約為,90,17,6.939491063
韓圜,62,13,6.884634017
超千,105,20,6.883509728
上漲點漲幅約,106,22,6.767663423
上週外資,86,19,6.751362427
幅約為,170,31,6.745432241
週外資,88,21,6.646349012
營業日,71,18,6.626803676
買超張第名,281,46,6.610075966
買超張第,285,47,6.589573259
家登,55,15,6.586048856
個營業日,67,18,6.568272882
類指數,160,34,6.561914943
金張,48,14,6.524297983
業日,73,20,6.52382516
國民,73,20,6.52382516
賣超張第名,253,46,6.522702452
個營,68,19,6.516716422
營業額,47,14,6.502049283
單口淨部位淨,71,20,6.496337249
亞系外資,54,17,6.418370197
票成交,124,32,6.416655582
股票成交,124,32,6.416655582
幅度達以點作,36,12,6.391419232
度達以點作收,36,12,6.391419232
股賣出千股買,51,17,6.360059805
賣出千股買超,51,17,6.360059805
出千股買超千,51,17,6.360059805
千股買超千股,51,17,6.360059805
股賣出千股賣,51,17,6.360059805
賣出千股賣超,51,17,6.360059805
出千股賣超千,51,17,6.360059805
千股賣超千股,51,17,6.360059805
轉率,133,35,6.358201889
比為,32,11,6.358190672
燈號,50,17,6.339858073
達以點,37,13,6.331894275
類指數上漲點,53,18,6.33167505
類指數下跌點,40,14,6.331625263
成交量周轉率,102,30,6.325038335
上週外資在集,49,17,6.319248198
週外資在集中,49,17,6.319248198
賣超千,52,18,6.312448309
神準,36,13,6.302556773
研院,30,11,6.287052428
上週外資在,50,18,6.272859965
買超千,53,19,6.267706067
周轉率,109,33,6.259913239
瑞銀證,43,16,6.25533191
存款,34,13,6.241354295
漢唐,42,16,6.231058116
指數下跌點跌,115,35,6.229660377
數下跌點跌幅,115,35,6.229660377
上漲點或收點,54,20,6.22551491
點逆價差,36,14,6.220282986
區塊鏈,28,11,6.211004332
金漲收元,47,18,6.21040458
銀證,44,17,6.209448332
興櫃,41,16,6.206199356
類指數上漲,84,29,6.190823821
吋晶圓代工,43,17,6.185995481
大摩,72,26,6.184602609
跌收元,40,16,6.180726738
上留意,32,13,6.176440369
點逆,37,15,6.172285914
周轉,112,36,6.168989146
超張第名元,54,21,6.167617401
數上漲點漲幅,158,45,6.16134311
面積,29,12,6.15663362
綠燈,50,20,6.149361871
超張數張第名,88,31,6.148312149
量周,108,36,6.137035162
陳奕,68,26,6.130872775
超張第名元大,49,20,6.129371269
沈建宏,26,11,6.129318063
自駕車,26,11,6.129318063
格羅方德,26,11,6.129318063
跌美元,46,19,6.126172317
羅方,28,12,6.118529751
格羅方,28,12,6.118529751
收於點,28,12,6.118529751
崇越,48,20,6.10896846
股賣,189,52,6.105480986
成蔭,32,14,6.095812911
林成蔭,32,14,6.095812911
瑞銀,59,24,6.093739084
跌幅約,107,37,6.092814415
點或至點,75,29,6.08662717
匯豐,25,11,6.086086632
建宏,27,12,6.079039987
自駕,27,12,6.079039987
股賣超,58,24,6.077411965
漲收元,153,47,6.074298077
智能,41,18,6.072548871
幅以點作收,41,18,6.072548871
張數張,92,34,6.069723898
萬片,31,14,6.062261705
區塊,38,17,6.059890194
收市新,40,18,6.047624805
漲點漲幅約,128,43,6.046544039
為兆億元,75,30,6.044296905
拉蕊,35,16,6.04297727
希拉蕊,35,16,6.04297727
人事,24,11,6.041090172
售額,24,11,6.041090172
每公,26,12,6.038059696
億歐元,26,12,6.038059696
類指數下跌,71,29,6.036235386
台股基金,37,17,6.032684472
大官股券商,37,17,6.032684472
八大官股券商,37,17,6.032684472
單未平倉口數,37,17,6.032684472
生產指數,30,14,6.027610265
德音,67,28,6.025990031
劉德音,67,28,6.025990031
數收低點或至,52,23,6.023315274
較多,44,20,6.022870603
六個,39,18,6.022069684
為兆億,76,31,6.015366086
收高點或至,114,41,6.011882531
明錤,36,17,6.004733295
郭明錤,36,17,6.004733295
收在元跌,43,20,6.000122448
點漲幅約,130,45,5.998165135
正賣超張,25,12,5.99547193
億餘元,23,11,5.994178403
參考報,23,11,5.994178403
濟參考報,23,11,5.994178403
經濟參考報,23,11,5.994178403
的家,29,14,5.99178398
低點或至,53,24,5.991307465
第名元,74,31,5.991182223
碼口淨多單增,31,15,5.987612478
高點或至,115,42,5.987310508
平倉口數,50,23,5.985540221
未平倉口數,50,23,5.985540221
外資在集中市,61,27,5.983102491
資在集中市場,61,27,5.983102491
指數收低點或,58,26,5.981349388
制度,42,20,5.976838994
點或至,188,57,5.970642086
張第名元,66,29,5.969094622
收高點或至點,37,18,5.968932501
產值,69,30,5.968167354
單口淨部位,239,65,5.968031921
張第名中,89,36,5.967023284
超張第名中,72,31,5.966335706
萬支,49,23,5.966082177
數收高點或至,104,40,5.965823212
名元,75,32,5.963712607
日之,39,19,5.961228648
示行情,138,48,5.960116472
第名元大,68,30,5.954838275
亞力,28,14,5.954700378
金收在元,28,14,5.954700378
非科技股,28,14,5.954700378
上漲上漲,28,14,5.954700378
資在集中,62,28,5.954168116
外資在集中,62,28,5.954168116
業生產指數,26,13,5.954110136
點跌幅約為未,26,13,5.954110136
跌幅約為未含,26,13,5.954110136
電張,41,20,5.952994439
口淨部位淨多,41,20,5.952994439
淨部位淨多單,41,20,5.952994439
收低點或,59,27,5.952003014
成康,24,12,5.951145415
億餘,24,12,5.951145415
關期間,24,12,5.951145415
封關期間,24,12,5.951145415
外資上週,24,12,5.951145415
大期貨提供,24,12,5.951145415
元大期貨提供,24,12,5.951145415
超前外資投信,24,12,5.951145415
前外資投信自,24,12,5.951145415
點漲幅約為未,32,16,5.950534386
漲幅約為未含,32,16,5.950534386
口淨多單增至,32,16,5.950534386
大企業,34,17,5.946422903
千股第二名,34,17,5.946422903
上週外資自集,34,17,5.946422903
週外資自集中,34,17,5.946422903
超最多的前三,34,17,5.946422903
最多的前三名,34,17,5.946422903
多的前三名上,34,17,5.946422903
的前三名上市,34,17,5.946422903
前三名上市公,34,17,5.946422903
三名上市公司,34,17,5.946422903
名上市公司為,34,17,5.946422903
上市公司為第,34,17,5.946422903
市公司為第一,34,17,5.946422903
公司為第一名,34,17,5.946422903
股買超千股第,34,17,5.946422903
超千股第二名,34,17,5.946422903
超千股第三名,34,17,5.946422903
股賣超千股第,34,17,5.946422903
單未平倉,48,23,5.946222908
的張,22,11,5.945180994
漲點逆,22,11,5.945180994
日平均,83,35,5.941411429
人同步買超億,36,18,5.941276706
來到元漲,70,31,5.940789195
指數收低點,70,31,5.940789195
爾街日報,73,32,5.939363747
華爾街日報,73,32,5.939363747
前五大,258,69,5.938236283
大官股,45,22,5.935283929
高點或至點,38,19,5.935274574
今日焦點新聞,38,19,5.935274574
貨提供,40,20,5.92856107
期貨提供,40,20,5.92856107
跌家數達家形,40,20,5.92856107
家數達家形成,40,20,5.92856107
數達家形成價,40,20,5.92856107
漲點或收點,63,29,5.926323193
億元占,103,41,5.925216636
低點或,60,28,5.923803476
張第名元大,60,28,5.923803476
或至,194,60,5.92228223
名上市公司,42,21,5.92125418
藍燈,29,15,5.918002598
利點,31,16,5.91778279
投顧提供,31,16,5.91778279
電子類指數下,27,14,5.916267989
子類指數下跌,27,14,5.916267989
示行,140,50,5.916201252
產指數,33,17,5.91596828
平盤以上,33,17,5.91596828
淨多單增至口,33,17,5.91596828
口淨部位,243,68,5.91442287
倉口數,54,26,5.914176805
股第二名,35,18,5.912841773
電子類指數上,35,18,5.912841773
子類指數上漲,35,18,5.912841773
外資自集中市,35,18,5.912841773
資自集中市場,35,18,5.912841773
羅素,25,13,5.912114485
圓出貨,25,13,5.912114485
晶圓出貨,25,13,5.912114485
三收美元,25,13,5.912114485
等上漲,77,34,5.911422395
約為,202,62,5.906824554
大官,46,23,5.905232023
國內消,23,12,5.904932107
履約價,23,12,5.904932107
零售業,23,12,5.904932107
今日焦點,39,20,5.90350907
焦點新聞,39,20,5.90350907
平均成交,82,36,5.89504781
長到,21,11,5.893903832
公噸,21,11,5.893903832
特大,21,11,5.893903832
民進黨,21,11,5.893903832
名個股為,21,11,5.893903832
四收美元,21,11,5.893903832
股基金,43,22,5.891116117
最多的前,43,22,5.891116117
黃國,32,17,5.884576446
金額為兆億元,45,23,5.88406325
單增至口,34,18,5.883582525
中市場買超億,34,18,5.883582525
場買超億元買,34,18,5.883582525
氣燈號,28,15,5.881375635
新能源,28,15,5.881375635
升值分,28,15,5.881375635
景氣燈號,28,15,5.881375635
收市新高,28,15,5.881375635
至點指數收,28,15,5.881375635
點或至點指數,28,15,5.881375635
或至點指數收,28,15,5.881375635
周買超,36,19,5.881251922
非科技,36,19,5.881251922
第二名,36,19,5.881251922
負利率,38,20,5.877806296
或報點,47,24,5.87655605
點或報點,47,24,5.87655605
十個,26,14,5.876384983
職演說,26,14,5.876384983
就職演說,26,14,5.876384983
獨家開市,26,14,5.876384983
周買,40,21,5.873425243
發電,40,21,5.873425243
的股票,279,75,5.872616596
點或收點,104,43,5.871062828
或報,54,27,5.869391734
跌家數達家,54,27,5.869391734
兆億元新台幣,54,27,5.869391734
漲跌家數達家,54,27,5.869391734
麗梅,24,13,5.868404259
林全,24,13,5.868404259
數萬,24,13,5.868404259
履約,24,13,5.868404259
里昂,24,13,5.868404259
何麗梅,24,13,5.868404259
機構投資,24,13,5.868404259
每股淨利,24,13,5.868404259
八大官股,42,22,5.868255662
元兌,59,29,5.866011745
三名,96,41,5.865103822
業生產,70,33,5.863538393
園區,44,23,5.862418734
猴年,51,26,5.860446971
金買超張第名,64,31,5.859525203
民進,22,12,5.856664212
點線,22,12,5.856664212
二收美元,22,12,5.856664212
羅素指數,22,12,5.856664212
機構投資人,22,12,5.856664212
產指,35,19,5.853104267
漲收美元,35,19,5.853104267
市場買超億元,35,19,5.853104267
單未,53,27,5.851953882
形成價,53,27,5.851953882
指數上漲點漲,172,59,5.851739817
第三名,37,20,5.851418035
都有以上漲幅,37,20,5.851418035
收低點,78,36,5.851106769
耶誕,29,16,5.848984725
賣超張第名元,29,16,5.848984725
股價指數下跌,29,16,5.848984725
價指數下跌點,29,16,5.848984725
負利,39,21,5.848606227
元來到,39,21,5.848606227
元累計買超,39,21,5.848606227
步買超億元,39,21,5.848606227
億元累計買超,39,21,5.848606227
同步買超億元,39,21,5.848606227
日焦點,41,22,5.844844299
焦點新,41,22,5.844844299
第名富邦,41,22,5.844844299
星期,27,15,5.843416493
月期,27,15,5.843416493
月景氣,27,15,5.843416493
萬張其,27,15,5.843416493
報元,43,23,5.8402766
滬指,20,11,5.840124376
豐證,20,11,5.840124376
重由,20,11,5.840124376
低波,20,11,5.840124376
數據中,20,11,5.840124376
個月呈現,20,11,5.840124376
跌點或收點,20,11,5.840124376
路透社,71,34,5.839267838
機構投,25,14,5.834937545
買超張第名元,25,14,5.834937545
新加坡,52,27,5.834183861
進金額為,52,27,5.834183861
買進金額為,52,27,5.834183861
總買進金額為,52,27,5.834183861
億元總賣出金,52,27,5.834183861
元總賣出金額,52,27,5.834183861
總賣出金額為,52,27,5.834183861
日平,89,40,5.832066598
輝達,62,31,5.830734177
股票成交量,62,31,5.830734177
市場總成交金,62,31,5.830734177
場總成交金額,62,31,5.830734177
億元股票成交,62,31,5.830734177
元股票成交量,62,31,5.830734177
買進賣出買賣,62,31,5.830734177
進賣出買賣超,62,31,5.830734177
賣出買賣超買,62,31,5.830734177
額為兆億元,47,25,5.82918305
在集中市場,79,37,5.827820246
場買超億元,36,20,5.824306718
國發會,34,19,5.824140626
二名,38,21,5.82314249
美元營收,38,21,5.82314249
數權重,23,13,5.822833473
指數權重,23,13,5.822833473
正買超張第名,23,13,5.822833473
意志,32,18,5.822389645
德意志,32,18,5.822389645
工訂單,32,18,5.822389645
代工訂單,32,18,5.822389645
週六,40,22,5.82085482
賣出買,64,32,5.820832795
到名依序為,64,32,5.820832795
超張到名依序,64,32,5.820832795
張到名依序為,64,32,5.820832795
日三大法人買,64,32,5.820832795
大法人買超前,64,32,5.820832795
法人買超前二,64,32,5.820832795
人買超前二十,64,32,5.820832795
買超前二十名,64,32,5.820832795
超前二十名上,64,32,5.820832795
前二十名上市,64,32,5.820832795
二十名上市股,64,32,5.820832795
十名上市股票,64,32,5.820832795
新能,30,17,5.818737207
名富邦,42,23,5.817613427
幅度達,51,27,5.816068769
上市股票成交,61,31,5.815988467
市股票成交金,61,31,5.815988467
股票成交金額,61,31,5.815988467
金價,28,16,5.812784919
成交量較,28,16,5.812784919
連續第個月,28,16,5.812784919
元累計買超為,28,16,5.812784919
累計買超為億,28,16,5.812784919
計買超為億元,28,16,5.812784919
達家形成價漲,28,16,5.812784919
家形成價漲量,28,16,5.812784919
買進賣,63,32,5.806645841
子類指數,63,32,5.806645841
電子類指數,63,32,5.806645841
漲之上,21,12,5.806150507
當沖證,21,12,5.806150507
川金會,21,12,5.806150507
守平盤以上,21,12,5.806150507
在集中,80,38,5.805184216
到元漲,80,38,5.805184216
售業,26,15,5.804024597
我國,26,15,5.804024597
十月,26,15,5.804024597
瑞信證,26,15,5.804024597
中間價,26,15,5.804024597
元來到元,26,15,5.804024597
額為兆億,48,26,5.803458845
元占,110,47,5.800978255
碼口淨多單,68,34,5.800869712
金買超張,171,61,5.800353116
稅率,50,27,5.797594939
類股及,65,33,5.797208121
晶圓代工產,37,21,5.79699964
薪資,35,20,5.796431603
萬張最多,35,20,5.796431603
工產,39,22,5.796257948
漲上漲,39,22,5.796257948
美元營,39,22,5.796257948
界先進,79,38,5.794260298
世界先進,79,38,5.794260298
成價,57,30,5.793729014
數達家,57,30,5.793729014
漲跌家數,57,30,5.793729014
家數達家,57,30,5.793729014
證交所表示,62,32,5.792231886
約台,24,14,5.791797913
買回,24,14,5.791797913
素指數,24,14,5.791797913
指數週三,24,14,5.791797913
正買超張第,24,14,5.791797913
下跌美,43,24,5.791601134
都有以上,43,24,5.791601134
在集中市場買,43,24,5.791601134
超萬張,70,35,5.790834461
收元漲,31,18,5.790343355
至點指數,31,18,5.790343355
口淨部位淨空,31,18,5.790343355
淨部位淨空單,31,18,5.790343355
天然氣,29,17,5.784152399
疫苗,19,11,5.783585819
基點,19,11,5.783585819
超前大,19,11,5.783585819
漲點線,19,11,5.783585819
奈米晶圓,19,11,5.783585819
數漲點漲幅,19,11,5.783585819
指數跌點或,19,11,5.783585819
公告月營收,19,11,5.783585819
指數漲點漲幅,19,11,5.783585819
力守平盤以上,19,11,5.783585819
雞年,64,33,5.783331113
場總成交,64,33,5.783331113
市場總成交,64,33,5.783331113
總成交金額,64,33,5.783331113
股價走強,49,27,5.778747876
外資投信同步,69,35,5.778115521
密貨幣,56,30,5.777568846
張第名台,56,30,5.777568846
加密貨幣,56,30,5.777568846
高點或,130,53,5.776877871
颱風,27,16,5.77526847
收美元創,27,16,5.77526847
盤中來到元,27,16,5.77526847
下跌點或收,27,16,5.77526847
月日以來收盤,27,16,5.77526847
年率,22,13,5.775236666
韓元,22,13,5.775236666
歸屬,22,13,5.775236666
月呈現,22,13,5.775236666
收在元小,22,13,5.775236666
年美元營收,22,13,5.775236666
日以來收盤新,22,13,5.775236666
日外資賣超億,22,13,5.775236666
前二十,66,34,5.774317935
波段新高元,51,28,5.773304682
市場買超億,38,22,5.771022126
公司為,40,23,5.770621648
自集中市場買,40,23,5.770621648
指數收高點或,117,50,5.769633286
交所表示,63,33,5.769235561
五日均線之上,42,24,5.769126846
收在五日均線,42,24,5.769126846
外資投信同,71,36,5.768489388
南京,34,20,5.767748402
獨家開,34,20,5.767748402
或至指數收高,34,20,5.767748402
至指數收高點,34,20,5.767748402
點跌幅收在點,34,20,5.767748402
專利,32,19,5.763565979
指數收漲點,32,19,5.763565979
含波動率由升,46,26,5.763452119
波動率由升至,46,26,5.763452119
數週三,25,15,5.763087533
今年迄今,25,15,5.763087533
經濟增長,25,15,5.763087533
張第名元大台,25,15,5.763087533
紅持續收在五,25,15,5.763087533
億元買超,60,32,5.762693076
吋晶圓,76,38,5.760639067
點或至指數收,48,27,5.759512186
國防,30,18,5.75724618
日市值,30,18,5.75724618
超張第名華,30,18,5.75724618
名元大台灣,30,18,5.75724618
第名元大台灣,30,18,5.75724618
大為,293,83,5.756257006
額為兆,50,28,5.754966686
國法,20,12,5.753171764
電子之,20,12,5.753171764
前盈餘,20,12,5.753171764
外投資,20,12,5.753171764
點報點,20,12,5.753171764
人民幣匯,20,12,5.753171764
數跌點或,20,12,5.753171764
稅前盈餘,20,12,5.753171764
告月營收,20,12,5.753171764
再創逾年,20,12,5.753171764
晶圓代工產能,20,12,5.753171764
空單未平倉口,20,12,5.753171764
張到,67,35,5.752115086
出買,67,35,5.752115086
收在元漲,87,42,5.750262008
價走強,52,29,5.749894778
核准,28,17,5.748353845
降幅,28,17,5.748353845
達欣工,28,17,5.748353845
的銷售,28,17,5.748353845
國公布月,28,17,5.748353845
張第名富邦,28,17,5.748353845
下跌點跌幅收,28,17,5.748353845
所表示,64,34,5.746949054
金退,23,14,5.74682201
口值,23,14,5.74682201
公會,23,14,5.74682201
黃藍燈,23,14,5.74682201
非農業,23,14,5.74682201
動裝置,23,14,5.74682201
週一收,23,14,5.74682201
投資金額,23,14,5.74682201
賣超萬張,23,14,5.74682201
行動裝置,23,14,5.74682201
今日外資賣超,23,14,5.74682201
上漲點漲幅以,23,14,5.74682201
場買超億,39,23,5.746237044
超張第名台,39,23,5.746237044
淨多單增至,39,23,5.746237044
為第一,41,24,5.746110957
超為億元,41,24,5.746110957
買超億元買超,41,24,5.746110957
創波段新高元,41,24,5.746110957
持續收在五日,41,24,5.746110957
續收在五日均,41,24,5.746110957
稅前,37,22,5.745113269
增速,37,22,5.745113269
秋節,37,22,5.745113269
國產,37,22,5.745113269
三星電,37,22,5.745113269
成價漲量,37,22,5.745113269
形成價漲量,37,22,5.745113269
元營收,43,25,5.744912986
收在五日,43,25,5.744912986
買超億元買,43,25,5.744912986
到名,69,36,5.743383745
瑞信,35,21,5.742524584
天然,35,21,5.742524584
中科,35,21,5.742524584
上漲上,35,21,5.742524584
在集,83,41,5.740824606
城市,33,20,5.738208861
巴黎,33,20,5.738208861
週三收,33,20,5.738208861
分配,26,16,5.736335977
總部,26,16,5.736335977
機車,26,16,5.736335977
專案,26,16,5.736335977
數百分,26,16,5.736335977
年迄今,26,16,5.736335977
外資則是,26,16,5.736335977
上周外資,26,16,5.736335977
位數百分,26,16,5.736335977
到元漲幅,26,16,5.736335977
超張投信,26,16,5.736335977
英文,49,28,5.7362582
中華電信,49,28,5.7362582
或至指數,49,28,5.7362582
點或至指數,49,28,5.7362582
第名台,63,34,5.732942175
元以元,51,29,5.732041403
股納,31,19,5.731843452
後成,31,19,5.731843452
股民,31,19,5.731843452
等下跌,31,19,5.731843452
三星電子,31,19,5.731843452
名中,108,49,5.730879198
等上,85,42,5.730503836
資集中市場,76,39,5.728140579
外資集中市場,76,39,5.728140579
陳浩,73,38,5.725663602
張陳浩,73,38,5.725663602
超最多,60,33,5.72556597
主計,21,13,5.725425273
額度,21,13,5.725425273
押寶,21,13,5.725425273
北市,21,13,5.725425273
盈餘為,21,13,5.725425273
金退場,21,13,5.725425273
口空單,21,13,5.725425273
再創逾,21,13,5.725425273
忠謀表示,21,13,5.725425273
交所統計,21,13,5.725425273
張忠謀表示,21,13,5.725425273
證交所統計,21,13,5.725425273
超張第名富邦,21,13,5.725425273
金買進千股賣,21,13,5.725425273
數下跌點或收,21,13,5.725425273
外陸,65,35,5.725326639
熔斷,18,11,5.723989673
製藥,18,11,5.723989673
智財,18,11,5.723989673
持多單,18,11,5.723989673
冠投顧,18,11,5.723989673
股明年,18,11,5.723989673
台積公司,18,11,5.723989673
華冠投顧,18,11,5.723989673
