,NewDate,post_time,title,content
194,1,2016/1/4 16:40,亞幣競貶又將鳴槍？央行見勢出手 台幣收盤價創逾3個月新低,鉅亨網記者王莞甯 台北台股今(4)日為開紅盤日，但加權指數遭受空襲，終場以重挫223點作收，跌幅逾2.6%，不過，觀察台北匯市，新台幣至收盤前1個小時仍穩穩走升，台灣央行為跟進主要亞幣大幅走貶趨勢，再出手促貶，終場新台幣收33.236元，貶值1.7角，創2015年9月25日以來收盤價新低。<BR>新台幣今日以32.9元、升值5分開出，儘管32.9元價位已是全日最高點，但到下午3點前皆不見新台幣轉貶，僅維持在33元附近作收，顯示實質拋補拉鋸，因此，央行再度於收盤前1小時重手促貶，一口氣由33元附近貶至33.2元關卡，最低來到33.241元，終場新台幣兌一美元以33.236元作收，貶值1.7角，貶幅0.51%，台北外匯經紀公司成交值11.58億美元。<BR>分析師指出，由於中東緊張局勢加重，資金回流美元避風港，加上人民幣續貶，導致主要亞幣跟進貶值，央行在新年度的第1個交易日，就在尾盤重手促貶，等同宣示了捍衛雙率雙降政策的決心。<BR>觀察主要亞幣中，除了韓元貶幅1.3%上下，人民幣、星元和泰銖貶幅在0.4%。外匯交易員認為，新台幣收盤貶值雖達0.5%，但韓元貶幅更重，不排除後續新台幣走勢將更加疲弱，以跟進蓄勢待發的亞幣競貶賽。
208,1,2016/1/4 19:55,太陽能系統價格年跌17% 平均度電成本走低 電池需求看好,"鉅亨網記者趙曉慧 台北產業研調機構TrendForce旗下綠能事業處EnergyTrend今(4)日發佈調查，太陽能發電系統價格逐步下降、年跌17%，平均度電成本走低，後續將帶動裝置需求再向上攀升，為台灣電池廠添加利多。<BR>EnergyTrend指出，以美國為例，2015年第3季時公共事業用系統（Utility系統）的系統造價（Installed Costs）為US＄1.38/W，相較2014年第3季約US＄ 1.66/W，跌幅約17%。隨著市電同價地區漸增，市場擴大太陽能發電的案例正顯著增加。<BR>根據2015年至今最新數據，新興市場如印度、智利、菲律賓等地區大幅度成長，已分別有827MW、750MW、134MW的安裝量，大量安裝的趨勢已顯現，年末結算數據尚待後續公佈，預期將推升整年度總結量再攀高。<BR>EnergyTrend分析師林建翰表示，生電成本（Levelized cost of electricity, LCOE）因各地區日照時數、人力成本、補貼以及模組稅後價格而有所差別。如印度光照時數長、模組價格及人力成本較低，因此有些大型系統每度電成本甚至只需約NT＄ 2.3/kWh。<BR>依照同樣的衰退比例計算，EnergyTrend預估，2017年底公共事業用系統的系統造價可能再下滑15%，部分地區之生電成本可達US＄0.07/kWh以下，與煤礦火力發電接近而低於天然氣發電，使得太陽能需求成長將擴大，可再生能源的比例也可望再提高。<BR>林建翰指出，2016年模組價格將受美國、中國、印度等國政策影響而持續緩跌。由於模組、逆變器以及相關耗材價格下滑，在同一跌幅走勢下，2016年太陽能系統造價將達約US＄ 1.15/W，帶動需求再向上攀升。<BR>同時，轉換效率持續順利提升，今年下半年主流效率將達到多晶265W、單晶275~280W，因此生電成本也將持續緩跌。預期到2016、2017年，高照度地區的印度、中南美、東南亞等地區之需求將再成長。<BR>林建翰說，台廠2015年因雙反被迫出走，各家廠商海外佈局分散在泰國、越南、馬來西亞，恰可對東南亞市場進行深耕。印度、中南美地區的大幅成長雖然對台灣無直接影響，但2016年中國面臨自身內需，以及上半年印、日、英等地、下半年美國、新興市場等安裝需求，仍會間接帶動中國對台灣電池需求上升。"
233,2,2016/1/5 07:23,陸股暴跌撒下陰影 美股重挫,（中央社紐約2016年1月4日綜合外電報導）美股2016年開市就陷入沈悶氣氛，中國大陸股價暴跌以及沙烏地阿拉伯和伊朗間蘊釀的外交危機令市場憂慮，使得美股重挫。<BR>道瓊工業指數大跌276.09點或1.58%，以17148.94點作收。<BR>標準普爾指數跌31.28點或1.53%，收在2012.66點；科技股那斯達克指數跌104.32點或2.08%，收4903.09點。
253,2,2016/1/5 08:25,《基金》2015台股吸金33.83億美元，居新興亞洲第一名,"外資上周於新興亞股轉為小幅買超，淨流入金額為2.4億美元，整體12月仍維持淨流出45.2億美元，新興亞股2015年淨流出39.7億美元，但台灣、印度則仍為淨買超，2015年分別吸金33.83億美元、32.74億美元，成為吸金前兩大。<BR> 中國信託國內投資團隊主管劉哲維表示，預期2016年若無重大國際經濟事件干擾，台股可望隨著經濟改善而逐季走揚。但未來影響台股的變數有三：一是景氣比預期疲弱，外銷訂單為觀察指標；二是美國是否再度升息；三為MSCI是否納入A股及對台股的排擠效應。<BR> 中國信託亞太多元入息平衡基金經理人蔡佩怡表示，時序步入傳統大中華區農曆新年旺季，外資已開始少量回補亞股，近期可觀察亞洲貨幣匯率，對亞洲股匯市第一季看法仍偏向正面。<BR> 宏利投信股票投資部主管周奇賢指出，投資人對台股投資興趣已不像過去濃厚，許多投資人覺得長期投資機會相對缺乏，然而2016年台股可望自底部回升，還有值得中長期投資的標的。預估全年指數區間為7,700?9,500。主要因為台股第三季受惠於美元升值達6.6％，出現2015年以來首次的獲利上修，台股即出現領先基本面的反彈行情。<BR> 台新中國通基金經理人施昶成表示，近期原油及人民幣走勢仍為市場焦點，歲末交投清淡，台股盤整格局未變，預估短期間指數將在8,000點至8,500點區間整理，8,000點位置有強力支撐，但總統大選將干擾內資進場意願，短期指數要突破8,500點有難度，投資人對台股後市也不需過於悲觀。展望2016年，個股挑選仍為台股基金操盤關鍵，看好類股包括半導體、汽車電子、汽車零組件、低評價電子股及獲利將明顯增長的生技股。<BR> 富蘭克林華美台股傘型基金之傳產基金經理人楊金峰表示，2016上半年將出現政策空窗期，若於此期間國際情勢有較大變動，政策支撐力道恐相對不足支撐，大盤指數可能面臨箱型整理格局，個股輪動表現仍將為主軸，因此，現階段更應該專注於選股不選市的投資邏輯，較看好美國景氣復甦概念股、運動休閒概念股以及大陸內需消費概念股等領域。（新聞來源：工商時報─記者孫彬訓╱台北報導）"
380,3,2016/1/6 08:24,《研究報告》台股中小基金，靚,結算2015年基金績效，台股中小型股基金平均績效達1.8％，遠優於中小型股指數-8.1％。拉長時間至3年來看，可發現台股中小型股基金共25檔，不管是2015年，或是近兩年、近3年，這25檔基金平均績效皆超過大盤指數，顯見台股中小型股基金的經理人操盤技巧優異，是投資上的新亮點。 <BR> 其中，有13檔「強基金」，不管是近一年、近兩年，甚或是近三年，績效都優大盤，是對台股市場有興趣的投資人，中長期的好選擇。<BR> 當中，可看到2015年大盤表現欠佳，但施羅德樂活中小基金仍能交出10％以上的報酬率，表現亮眼。如果統計近兩年，則有9檔基金也交出了兩位數的成績單。拉長至3年，這些「強基金」累積報酬率最少是27％、最高則至66％，年報酬率為9％?22％，可見投資台股中小型股基金，是不錯的標的。 <BR> 施羅德樂活中小基金經理人陳同力表示，無論是從台股的基本面或是籌碼面來看，目前台股來到7年來難得一見的便宜水位，建議投資人不妨以台股基金中長期布局台股，參與台股中長期行情。 <BR> 對於2016年的看法，陳同力說，主計總處預計，台灣經濟成長率將有2％以上的成長，雖然2016年維持低成長的機率大，但上半年可能低迷，下半年則有機會反攻。 <BR> 整體來看，2016年台股投資的機會與風險方面，陳同力說，機會可觀察總統與立委大選後新政策的預期、2016年第一季台灣科技業的補庫存效應、連結工業4.0的先驅性地位。風險則要留意紅色供應鏈對台灣產業的擠壓、大陸A股納入指數對於台灣比重的排擠效果、美元獨強與擔憂美國升息，引發資金繼續離開新興市場、台灣企業獲利的動能快速減弱。 <BR> 陳同力認為，台灣經濟成長率影響大盤指數表現未達預期，但只要充分掌握選股策略，仍有機會創造好的投資成效。除價值面具吸引力，以籌碼面來看，台股目前融資餘額逼近過去10年歷史低點，且包含外資法人及本土法人持股水位皆低於歷史平均，籌碼乾淨，未來回補機率大增，可望推升台股表現。（新聞來源：工商時報─記者孫彬訓╱台北報導）
416,3,2016/1/6 11:55,《電子零件》業績有衝勁，銘鈺上市首日突圍,精密金屬沖壓件廠－銘鈺精密 (4545) 今天上市掛牌，銘鈺去年前3季每股盈餘為6.24元，由於銘鈺三大業務－自動化機器設備、精密金屬沖壓零組件及醫療塑膠射出在新客戶及新產品布局逐漸發酵，業績成長可期，今天上市首日無畏台股重挫，盤中股價逆勢走高。<BR> 銘鈺成立於2001年，主要股東有銘異科技 (3060) ，約占股權約37%，公司成立初期從事工業用塑膠製品、銅鋁製品及銅材等之低溫電鍍加工製造、精密金屬沖壓及電解鎳度表面處理業務，主要產品為硬碟中音圈馬達上下板(VCM Plate)之金屬沖壓產品。公司為避免硬碟產業客戶受整併而減少訂單之疑慮，故積極尋找利用精密金屬沖壓技術、各項表面處理技術及開模技術可應用之產業層面較廣的特性，開拓非硬碟機產業市場之機會。歷經多年發展，已陸續跨入汽車及3C電子產業市場，其主要產品為智慧型手機軟板支撐片及均熱片，且已打入國際智慧手機品牌及晶片大廠的供應鏈體系。<BR> 為提升管理及營運效益，銘鈺前兩年進行轉型，將新加坡及中國事業轉為100%子公司，目前公司共有精密金屬沖壓、自動化設備及醫療用塑膠射出3個事業群，其中精密金屬沖壓有觀音廠及東莞廠，以生產硬碟用VCM(音圈馬達)上下片、硬碟機沖壓零組件及手機用的軟板支撐片等，約占營收54%，自動化設備事業群主要在蘇州，約占營收29%，塑膠射出主要在新加坡，以生產醫學或生化實驗室用塑膠零件與醫療用塑膠耗材產品為主，約占營收11%。<BR> 銘鈺公司副總孟慶餘表示，有鑑於全球人口老化及醫療支出之比例逐漸增加，醫材產業將呈穩定成長趨勢，且看好中國地區因人工成本持續上升，未來將有導入自動製程為電子製造業升級的發展趨勢，必將帶動自動化設備之需求成長，故於2012年間購入位於新加坡之MAPP及中國蘇州億模，並跨入醫療塑膠射出業務及自動化設備業務，間接擴展銘鈺集團之多角化經營觸角；在自動化業務發展方面，將著重於機台設計模組化與開發多方面的自動化產品整合利用，透過模組化的設計以因應客戶需求的不同而改變，其主要產品以手機自動貼合及精密量測設備為主，以蘇州億模之自動化設備品牌「Amould」在現有穩定客戶關係中尋求及拓展與其他產業之合作機會；此外銘鈺公司將開發自動化設備產品，並將終端應用從智慧型手機，拓展到平板、PC及穿戴式裝置產品，而量測設備產品線也計畫延伸至WiFi、Bluetooth、SIM卡及全測等領域，由於銘鈺公司擁有優異的軟硬體系統整合(SI)技術，未來結合大數據分析，更可以協助客戶進入工業4.0智慧製造時代。<BR> 根據IEK的資料顯示，2016年全球智慧型手機出貨15.8億支，年成長率降為7.7%，智慧手機市場進入成長的高原期。其中，新興市場中低階機種仍為智慧型手機需求和成長的主要來源，預估2018年全球智慧型手機將達到17.4億支，2015年至2018年複合成長率約5.8%，而銘鈺在精密金屬沖壓業務方面，軟板支撐片將持續與智慧手機國際品牌廠商合作，且公司目前生產之均熱片已經供應伺服器晶片及通訊產品使用，未來隨著出貨量增加及國際品牌廠商推出新款智慧型手機帶動下，預計可望提升精密金屬沖壓產品營收規模。<BR> 此外，由於亞太地區新興國家市場隨著經濟成長快速，透過東協經濟共同體、跨太平洋戰略經濟夥伴關係協議等自由貿易及關稅協議，除了帶動醫療建設的需求與成長機會，更在強勁的經濟與政策的支持下，醫療器材市場有明顯成長，隨著東協議題發酵，新興市場也持續吸引外資至該地設廠，在經濟帶動下也將驅動另一波醫材需求市場的成長機會，因此在醫療塑膠射出業務方面，銘鈺未來將規畫開發身體導出入的產品(如鼻胃管、導尿管等)，透過與新加坡政府設立的研發中心共同合作，並積極尋求策略夥伴共同研發先進產品，此外將以新加坡製造的品質與現有客戶共同攜手開發新興市場。<BR> 受惠自動化設備業務打入國際智慧型手機與電腦大廠供應鏈，銘鈺去年前3季業績表現不俗，去年前3季合併營收為25.62億元，營業毛利為9.01億元，合併毛利率為35.18%，稅前盈餘為5.55億元，稅後盈餘為4.23億元，每股盈餘為6.24元。 <BR> 銘鈺去年11月合併營收為2.99億元，較前年同月成長7.28%；累計1到11月合併營收為30.99億元，較前年同期成長9.19%。
417,3,2016/1/6 11:57,《國際政治》北韓宣布，氫核彈試爆成功,北韓透過國營電視台宣布，周三上午進行的氫核彈試驗十分成功，這場核試由領導人金正恩下令進行。<BR> 此前，美國地質調查局報告在北韓測得規模5.1地震。南韓氣象廳表示，該疑似人造地震發生在距離北韓豐溪里(Punggye-ri)核子試驗場49公里處。<BR> 這是北韓的第4次核試。北韓電視台報導，北韓當局不會放棄核武能力，除非美國解除對北韓的敵對政策。
517,4,2016/1/7 10:35,《台北股市》陸股跳水，台股暴跌百點破10年線,"北韓核爆成功、國際原油價格跌跌不休與蘋果手機i6s首季大減產，除引爆歐美主要股市在周三大跌外，亞股周四更進一步下修，包括大陸滬深兩股市暴跌提前收市，而日本、香港與南韓等股市也不振，加上韓元兌美元貶破1200及人民幣兌美元匯價也重挫，使亞股匯雙殺窘境，引爆台股早盤開低殺低，大跌逾百點摜破10年線。<BR> 台股集中交易市加權股價指數迄上午9：57，暫報7868點，大跌121點，跌幅1.53％，成交389億元，不僅跌破7900點關卡，更跌破10線7882點。指數跌破8,000點大關後，空方持續主導行情，開盤後大盤指數一路往下滑落，隨即摜破7,882點10年線支撐，法人對台股短線盤勢仍持保守看法，加速大盤指數探底，10點過大跌逾150點。業內人士指出，由於外資短期偏空操作未變，台股雖有國家隊法人逢低護盤，惟投資或仍暫宜低調、保守。<BR> 台股今天仍是由大型權值股領跌，包括台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 、聯發科 (2454) 、國泰金 (2882) 及富邦金 (2881) 等跌幅都持續擴大至2％以上，造成大盤指數愈跌愈多，至10點過後，重挫150點以上，指數低點來到7,836點。大立光還一度跌破1900元，顯示市場持股信心脆弱。金融保險類股方面，受制海外投資可能踩地雷陰霾揮之不去，使國泰金、富邦金、兆豐金 (2886) 、中信金 (2891) 等也震盪盤軟，表現不佳。<BR> 台塑四寶方面，在國際油價跌跌不休，底部區暫未預設立場下，或也可能引爆下游買氣觀望，使該集團股包括台塑 (1301) 、南亞 (1303) 、台化 (1326) 及台塑化 (6505) 等震盪走低。目前盤面上無主流股力撐人氣，且台股今年開紅盤以下，持續帶量下殺，造成上檔層層套牢賣壓愈趨沈重下，使短期操作不宜躁進。(新聞來源：工商即時 梅中和、呂淑美)"
521,4,2016/1/7 11:04,【台股盤中】陸股暴跌熔斷 台股重挫逾150點,（中央社記者鍾榮峰台北2016年1月7日電）陸股暴跌觸發熔斷(盤中暫停交易)機制，台股盤中大跌超過150點，創波段低點。法人表示，台股有機會醞釀止跌，仍需觀察全球政經和國際股市變化。<BR>美股道瓊工業指數持續下挫，中國大陸股市今開盤後暴跌，觸發熔斷(盤中暫停交易)機制，滬深在上午9時57分恢復交易後繼續下挫，觸發第二檔盤中暫停交易門檻，全天交易僅15分鐘。<BR>亞股受到拖累走跌，台股失守7900點大關，盤中一度重挫175點，最低來到7815點附近，創去年8月下旬以來波段低點。<BR>到11時00分，台股加權指數來到7831點，大跌159點，跌幅1.9%，成交值約新台幣666億元。電子股盤中跌1.7%，金融股跌1.8%。<BR>蘋果(Apple)iPhone銷售狀況不妙，蘋果股價盤中一度失守100美元大關，是近5個月來首見，今天最終收挫近2%，報100.70美元，勉強守住百元大關。<BR>蘋概股盤中受到中國大陸股市暴跌觸發熔斷機制、以及蘋果股價表現不佳衝擊，台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 、和碩 (4938) 、可成 (2474) 、瑞儀 (6176) 盤中走低。<BR>聯發科 (2454) 盤中也無法倖免，來到213.5元，跌5.9%。股王大立光來到1860元，跌5.1%。可成跌停，來到226元。<BR>金控股國泰金、富邦金、兆豐金盤中走跌。<BR>傳產股水泥類股一枝獨秀逆勢走揚。<BR>國泰證期顧問處協理簡伯儀指出，台股盤中受到陸股再度啟動熔斷機制影響，走勢破低。<BR>簡伯儀表示，最近幾個交易日台股量價下跌，指數走弱，從趨勢來看，大盤呈現第三波下跌，不過台股加權指數與月均線之間的負乖離擴大，有機會醞釀止跌回穩的跡象，但仍需觀察全球政經和國際股市的局勢變化，若未能有效扭轉，台股短線仍呈現弱勢。
541,4,2016/1/7 13:58,【台股盤後】陸股崩跌熔斷 台股重挫138點,（中央社記者鍾榮峰台北2016年1月7日電）陸股暴跌觸發熔斷機制提前休市，加上蘋概股倒地，台股重挫138.33點，守住7800點大關。法人表示，近期原油及人民幣走勢仍是焦點，投資人對台股不過度悲觀。<BR>美股下挫，中國大陸股市今開盤後暴跌，觸發熔斷(盤中暫停交易)機制，滬深在上午9時57分恢復交易後繼續下挫，觸發第二檔盤中暫停交易門檻，提前宣告休市。<BR>陸股崩跌，亞股連袂重挫，台股盤中一路下殺，失守7900點、7800點關卡，最低來到7770點附近，重挫220點。尾盤跌幅漸收斂，終場仍大跌138.33點，跌破10年均線約7880點。<BR>終場台股加權股價指數收在7852.06點，大跌138.33點，跌幅1.73%，成交金額擴大到新台幣1167.74億元。電子股跌1.94%，金融股跌2.16%。<BR>市場傳出蘋果(Apple)第1季iPhone出產量將減單3成，蘋果銷售狀況不妙，蘋果股價盤中一度失守100美元大關，是近5個月來首見，今天最終收挫近2%，報100.7美元，勉強守住百元大關。<BR>蘋概股今天紛紛倒地，台積電 (2330) 收在133元，跌2.5%；股王大立光 (3008) 終場收在1830元，跌6.7%；鴻海 (2317) 收78.3元，跌0.7%；和碩 (4938) 收65.7元，跌2.2%；可成 (2474) 收226元，大跌25%；瑞儀 (6176) 收62.3元，大跌5.8%。<BR>非蘋手機也不能倖免，中國大陸手機市場需求趨緩，概念股之一聯發科 (2454) 收206元，大跌21%。<BR>股王無力，股后也落難，漢微科 (3658) 收在1080元，跌10%。<BR>金管會表示，台股今天盤中大跌主要受到國際股市影響，將持續密切觀察。國安基金執行秘書吳當傑表示，國安基金會適時進場，穩定投資人信心。<BR>台新中國通基金經理人施昶成指出，近日全球股市因中國大陸經濟放緩、股市重挫、人民幣貶值影響全面大跌，近期原油及人民幣走勢仍為市場焦點。<BR>施昶成表示，台股盤整格局未變，預估短期間指數區間整理，總統大選將干擾內資進場意願，短期指數要明顯突破有難度，不過台股本益比(PER)與股價淨值比(PBR)回到歷史偏低水準，現金股息殖利率不錯，與新興市場亞洲各國相比較佳，投資人對台股後市不需過於悲觀。<BR>從類股族群來看，施昶成表示，短期指數表現空間不大，個股表現，可留意包括半導體、汽車電子、汽車零組件及低評價電子股。
